Transition,Frequency (%)
Inform -> Inform,17.8609473758966
Inform -> Request,16.88090334493289
Request -> reqmore,1.6973226333357005
reqmore -> thank,1.5268801931680989
thank -> bye,0.28407073361266955
bye -> bye,0.09942475676443434
Inform -> Select,1.5907961082309494
Select -> Inform,1.249911227895746
Request -> Inform,16.547120232938
Inform -> NoOffer,2.2938711739223065
NoOffer -> Inform,2.1731411121369217
reqmore -> Inform,2.499822455791492
Request -> Recommend,0.5894467722462893
Recommend -> thank,0.10652652510475108
thank -> Inform,0.21305305020950216
Inform -> thank,2.0808181237128043
Select -> Request,0.40480079539805414
Request -> Book,0.6746679923300902
Book -> thank,1.9174774518855193
thank -> Recommend,0.007101768340316739
Recommend -> Inform,1.1220793977700447
Inform -> reqmore,2.698671969320361
Request -> Request,2.6489595909381434
Inform -> Book,3.9982955755983243
Book -> Inform,2.357787088985157
Inform -> OfferBook,1.4558625097649314
OfferBook -> Inform,0.8664157375186421
Inform -> OfferBooked,0.98004403096371
OfferBooked -> thank,0.6959732973510404
Inform -> greet,0.2698671969320361
greet -> Inform,0.2343583552304524
OfferBook -> NoOffer,0.007101768340316739
OfferBooked -> Inform,0.6107520772672396
thank -> Request,0.20595128186918543
Book -> Request,0.36219018535615366
Inform -> Recommend,1.470066046445565
Recommend -> Request,0.8451104324976919
bye -> thank,0.14203536680633477
NoOffer -> Request,0.17754420850791847
Select -> Recommend,0.06391591506285065
greet -> thank,0.042610610041900435
thank -> reqmore,0.9090263475605426
Inform -> bye,0.37639372203678717
OfferBook -> Request,0.6746679923300902
reqmore -> Request,0.8380086641573753
Request -> OfferBooked,0.36929195369647044
reqmore -> bye,0.3195795753142533
Request -> Select,0.14913713514665153
Select -> reqmore,0.04971237838221717
Request -> bye,0.028407073361266955
Request -> NoBook,0.07811945174348413
NoBook -> Request,0.06391591506285065
Request -> OfferBook,0.3834954903771039
OfferBooked -> Request,0.09942475676443434
Inform -> welcome,0.05681414672253391
Request -> thank,0.17044244016760174
reqmore -> reqmore,0.042610610041900435
thank -> thank,0.021305305020950217
greet -> Request,0.14203536680633477
thank -> OfferBooked,0.042610610041900435
OfferBooked -> bye,0.05681414672253391
Inform -> NoBook,0.4687167104609048
NoBook -> thank,0.021305305020950217
thank -> Book,0.09942475676443434
thank -> welcome,0.24146012357076913
welcome -> thank,0.09232298842411761
Request -> NoOffer,0.1278318301257013
welcome -> bye,0.07101768340316739
Recommend -> bye,0.028407073361266955
Book -> welcome,0.007101768340316739
welcome -> Inform,0.05681414672253391
NoBook -> Book,0.03550884170158369
OfferBook -> thank,0.16334067182728498
thank -> OfferBook,0.042610610041900435
Select -> NoBook,0.007101768340316739
NoBook -> Inform,0.40480079539805414
bye -> welcome,0.014203536680633478
Recommend -> reqmore,0.028407073361266955
OfferBook -> OfferBooked,0.10652652510475108
OfferBook -> OfferBook,0.014203536680633478
reqmore -> Select,0.028407073361266955
OfferBook -> reqmore,0.03550884170158369
Book -> bye,0.16334067182728498
reqmore -> Recommend,0.028407073361266955
NoOffer -> NoOffer,0.04971237838221717
OfferBook -> Select,0.014203536680633478
Select -> thank,0.021305305020950217
thank -> Select,0.007101768340316739
Select -> Book,0.021305305020950217
reqmore -> OfferBook,0.014203536680633478
OfferBook -> bye,0.021305305020950217
Request -> greet,0.014203536680633478
reqmore -> welcome,0.028407073361266955
welcome -> Request,0.014203536680633478
Recommend -> Book,0.021305305020950217
bye -> greet,0.028407073361266955
reqmore -> Book,0.08522122008380087
NoOffer -> Book,0.007101768340316739
bye -> Inform,0.05681414672253391
bye -> Request,0.014203536680633478
NoOffer -> thank,0.042610610041900435
Recommend -> Select,0.014203536680633478
OfferBook -> greet,0.007101768340316739
greet -> Book,0.007101768340316739
NoOffer -> bye,0.007101768340316739
NoOffer -> Select,0.007101768340316739
Book -> Book,0.014203536680633478
Recommend -> NoBook,0.007101768340316739
NoBook -> Recommend,0.007101768340316739
thank -> greet,0.021305305020950217
OfferBooked -> OfferBooked,0.021305305020950217
Select -> NoOffer,0.028407073361266955
greet -> reqmore,0.03550884170158369
greet -> Select,0.007101768340316739
NoOffer -> OfferBooked,0.007101768340316739
Recommend -> greet,0.014203536680633478
bye -> reqmore,0.021305305020950217
welcome -> reqmore,0.014203536680633478
Request -> welcome,0.007101768340316739
NoOffer -> reqmore,0.042610610041900435
bye -> OfferBook,0.007101768340316739
NoBook -> bye,0.007101768340316739
NoOffer -> Recommend,0.007101768340316739
NoBook -> reqmore,0.007101768340316739
reqmore -> NoOffer,0.007101768340316739
greet -> bye,0.014203536680633478
NoOffer -> OfferBook,0.007101768340316739
bye -> OfferBooked,0.007101768340316739
Book -> Recommend,0.014203536680633478
thank -> NoOffer,0.014203536680633478
NoBook -> NoBook,0.014203536680633478
welcome -> welcome,0.007101768340316739
reqmore -> greet,0.007101768340316739
Recommend -> Recommend,0.007101768340316739
NoBook -> OfferBooked,0.007101768340316739
