Transition,Frequency (%)
Train-Inform -> Train-Request,23.32518337408313
Train-Request -> Train-Inform,22.3960880195599
Train-Inform -> Train-OfferBook,9.731051344743276
Train-OfferBook -> Train-Inform,4.88997555012225
Train-Inform -> Train-OfferBooked,6.748166259168705
Train-Inform -> Train-Inform,9.731051344743276
Train-OfferBook -> Train-NoOffer,0.04889975550122249
Train-NoOffer -> Train-Inform,0.9290953545232273
Train-Request -> Train-Request,3.6674816625916873
Train-OfferBook -> Train-Request,4.88997555012225
Train-Inform -> Train-NoOffer,1.1246943765281174
Train-NoOffer -> Train-Request,0.19559902200488996
Train-OfferBook -> Train-OfferBook,0.3911980440097799
Train-Request -> Train-OfferBooked,2.6405867970660144
Train-Request -> Train-OfferBook,2.787286063569682
Train-OfferBooked -> Train-Request,0.7823960880195598
Train-OfferBooked -> Train-Inform,0.6845965770171148
Train-Inform -> Train-Select,1.3691931540342297
Train-Select -> Train-Inform,1.075794621026895
Train-OfferBook -> Train-OfferBooked,0.9290953545232273
Train-OfferBook -> Train-Select,0.09779951100244498
Train-Select -> Train-Request,0.6356968215158924
Train-OfferBooked -> Train-OfferBook,0.04889975550122249
Train-NoOffer -> Train-Select,0.04889975550122249
Train-Request -> Train-Select,0.24449877750611246
Train-Request -> Train-NoOffer,0.19559902200488996
Train-OfferBooked -> Train-OfferBooked,0.24449877750611246
Train-NoOffer -> Train-OfferBooked,0.04889975550122249
Train-NoOffer -> Train-OfferBook,0.04889975550122249
Train-OfferBooked -> Train-NoOffer,0.04889975550122249
