conv_id,satisfaction_rating,predicted_label
137,High,medium
412,Low,medium
514,Medium,low
522,Medium,high
627,Medium,high
661,Low,medium
679,Medium,high
738,Low,medium
741,Low,low
812,Medium,high
860,Medium,medium
281,Low,medium
320,Medium,medium
550,Medium,high
637,Low,high
762,Low,high
884,Medium,high
900,Low,medium
939,Medium,high
974,Low,high
102,High,medium
140,Low,medium
175,Low,low
211,Low,low
236,Low,high
347,Low,low
372,Low,high
528,Medium,medium
903,Medium,medium
948,Medium,medium
987,Low,medium
60,Medium,high
97,Low,medium
199,Low,high
313,Low,medium
329,Medium,high
371,Medium,low
500,Low,medium
585,Medium,high
622,Medium,high
688,Medium,high
262,Medium,medium
278,Low,low
300,Low,medium
440,Low,low
571,Low,medium
579,Medium,high
602,Medium,medium
838,Low,high
880,Low,low
925,Medium,medium
975,Medium,low
11,Medium,Medium
24,Low,High
31,Low,Medium
55,High,Medium
222,Medium,Low
297,Low,Medium
543,Medium,Medium
618,Low,Low
821,Low,High
71,Low,medium
108,Low,high
210,High,low
494,Low,medium
544,Low,medium
591,Low,low
605,Medium,medium
663,Low,high
693,Low,low
867,Low,high
40,Medium,high
67,Medium,medium
68,Low,medium
276,Low,medium
290,Medium,low
293,Low,medium
308,Low,medium
590,Low,medium
653,Medium,high
680,Low,high
742,Low,low
319,Low,High
328,Medium,Low
383,Medium,Medium
452,Low,Medium
523,High,High
549,Low,Medium
715,Low,Medium
754,Medium,Medium
999,Medium,Medium
64,Low,medium
89,Medium,high
219,Low,low
437,Medium,medium
717,Low,medium
765,Medium,medium
788,Low,medium
827,High,medium
169,Low,medium
257,Medium,medium
352,Medium,low
555,Medium,medium
636,Medium,high
645,Low,medium
918,Low,low
937,Low,high
960,Medium,medium
87,Low,medium
185,Low,medium
295,Low,low
433,Low,high
529,Low,low
535,Low,high
817,Low,high
824,Low,high
979,Low,medium
986,Low,high
261,Medium,high
426,Low,high
446,Low,medium
560,Low,high
584,Medium,medium
714,Low,medium
893,Low,high
56,Medium,high
121,Medium,medium
266,Medium,high
530,High,low
600,High,medium
801,High,medium
850,Low,low
868,Medium,low
996,Low,low
26,Low,medium
45,Medium,medium
73,Low,low
216,Low,high
248,Low,high
282,Medium,medium
722,Low,high
894,Low,medium
915,Low,high
159,Low,Medium
245,Low,Low
322,Medium,Medium
430,Low,High
644,Low,Medium
811,Low,High
823,Low,High
942,Low,Medium
978,Low,Medium
61,High,medium
310,Medium,medium
463,Low,high
596,Low,medium
650,Low,medium
651,Low,medium
698,Low,high
768,Low,medium
866,Low,medium
885,Low,low
111,Low,medium
299,Medium,medium
311,Medium,high
315,Medium,medium
362,Medium,medium
364,Low,medium
480,Medium,medium
487,Medium,low
669,Low,high
690,Low,low
990,Low,medium
255,Medium,High
260,Medium,Medium
378,Low,Low
495,Medium,Medium
527,Medium,Medium
671,High,Medium
678,Low,Low
803,Low,High
846,Medium,High
138,Medium,high
200,Low,medium
356,Medium,medium
366,Low,high
657,Medium,medium
750,High,high
830,Medium,high
943,Medium,medium
949,Low,high
30,Low,Low
79,Medium,Low
209,Low,Medium
214,Medium,High
333,High,Low
409,High,Medium
536,High,Medium
614,Low,Medium
696,Low,High
837,Low,Medium
66,Medium,high
142,Medium,medium
166,Medium,medium
496,Medium,medium
597,Low,high
656,Medium,medium
825,Medium,medium
828,Medium,high
919,Low,low
926,Low,low
50,Low,medium
250,Low,low
306,Medium,medium
332,Low,high
665,Medium,medium
709,Medium,low
735,Medium,medium
908,Low,medium
976,Medium,low
34,Medium,medium
345,Low,medium
351,Medium,high
482,Low,low
537,Medium,low
545,Low,medium
576,Medium,high
897,Low,low
905,Medium,medium
995,Low,medium
4,Medium,medium
32,High,high
193,High,high
205,Medium,medium
232,Medium,medium
334,Medium,low
515,High,medium
800,Medium,medium
964,Low,medium
78,High,medium
83,Low,low
85,Low,low
110,Medium,medium
287,Low,low
307,High,low
431,Medium,low
790,Low,low
992,Medium,medium
6,Low,high
98,High,high
267,Low,high
324,Low,low
399,Medium,high
466,Medium,medium
520,Medium,medium
732,Low,medium
895,Low,high
917,Medium,medium
923,Low,low
119,Low,medium
358,Medium,high
381,Medium,medium
491,High,medium
632,Low,low
799,Medium,high
869,Medium,high
901,Low,low
10,Low,low
82,Low,medium
197,High,medium
251,Low,high
524,Medium,medium
588,Medium,medium
604,Low,medium
784,High,high
798,Low,high
212,High,medium
228,Low,medium
240,Medium,high
291,Medium,medium
360,Medium,medium
450,Medium,medium
718,Medium,medium
947,Medium,medium
951,Medium,medium
8,Medium,High
363,Low,Low
429,Medium,Medium
465,Low,Medium
469,Low,Low
502,Medium,High
797,Low,High
936,Medium,High
