Unnamed: 0,speaker,text,domain-intent,rating 1,rating 2,rating 3,rating 4,rating 5,domain,intent,avg_rating,conv_ID,turn_id,wt_avg_rating,word_count,satisfaction_rating,sentiment,politeness,clause_to_sentence_ratio,dialogue_depth,lexical_diversity,rare_ratio,common_ratio,stopword_ratio,?,!,...
124,USER,I am looking for a particular attraction called The Place. I need more information about it.,Attraction-Inform,4.0,3.0,3.0,,,Attraction,Inform,3.33,6,0,3.33,16,High,Positive,0,1.0,1,0.9375,0.25,0.3125,0.5,0,0,0
125,SYSTEM,Sure. It is a nightclub in the south area. Do you need the address or phone number?,Attraction-Inform,,,,,,Attraction,Inform,,6,1,,17,Medium,Positive,0,1.0,1,0.9411764705882352,0.2352941176470588,0.5294117647058824,0.5294117647058824,1,0,0
126,USER,Just the postcode and entrance fee I am afraid.,Attraction-Request,3.0,3.0,3.0,,,Attraction,Request,3.0,6,2,3.0,9,Medium,Neutral,0,1.0,0,1.0,0.3333333333333333,0.2222222222222222,0.5555555555555556,0,0,0
127,SYSTEM,22 sidney street is the address,Attraction-Inform,,,,,,Attraction,Inform,,6,3,,6,Medium,Neutral,0,1.0,0,1.0,0.1666666666666666,0.3333333333333333,0.3333333333333333,0,0,0
128,USER,Could you please tell me the postcode?,Attraction-Request,4.0,3.0,3.0,,,Attraction,Request,3.33,6,4,3.33,7,High,Positive,2,1.0,0,1.0,0.1428571428571428,0.5714285714285714,0.4285714285714285,1,0,0
129,SYSTEM,"Of course, sorry about that. The postcode is cb23hg. Can I be of any further assistance to you today?",Attraction-Inform,,,,,,Attraction,Inform,,6,5,,19,Medium,Negative,0,1.0,1,1.0,0.3157894736842105,0.5263157894736842,0.631578947368421,1,0,0
130,USER,What is the entrance fee for it?,Attraction-Request,5.0,3.0,3.0,,,Attraction,Request,3.67,6,6,3.67,7,High,Neutral,0,1.0,1,1.0,0.1428571428571428,0.5714285714285714,0.5714285714285714,1,0,0
131,SYSTEM,"Unfortunately, I am not sure of the entrance fee to The Place. You can call them to find out: 01223324600.",Attraction-Inform,,,,,,Attraction,Inform,,6,7,,20,Medium,Negative,0,1.0,0,0.95,0.25,0.45,0.55,0,0,0
132,USER,"Thank you. I will also need a train from Cambridge to London Kings Cross on Tuesday, would you be able to help me?",Train-Inform,4.0,4.0,4.0,,,Train,Inform,4.0,6,8,4.0,23,High,Positive,1,1.0,0,0.9565217391304348,0.3043478260869565,0.391304347826087,0.391304347826087,1,0,0
133,SYSTEM,I need some more information first. Is there a specific time you would like to leave or arrive by?,general-greet,,,,,,general,greet,,6,9,,19,Medium,Positive,0,1.5,0,1.0,0.1578947368421052,0.5789473684210527,0.4736842105263157,1,0,0
134,USER,I would like the train to arrive by 16:00.,Train-Inform,5.0,3.0,3.0,,,Train,Inform,3.67,6,10,3.67,9,High,Positive,0,1.0,0,1.0,0.2222222222222222,0.5555555555555556,0.4444444444444444,0,0,0
135,SYSTEM,"There are five trains that will arrive by 16:00, the train that arrives closes to that time is TR315 which arrives at 13:51",Train-Inform,,,,,,Train,Inform,,6,11,,23,Medium,Neutral,0,4.0,3,0.8695652173913043,0.2608695652173913,0.5652173913043478,0.5217391304347826,0,0,0
136,USER,That one will work. Can you book it for 4 people?,Train-Inform,5.0,3.0,3.0,,,Train,Inform,3.67,6,12,3.67,11,High,Neutral,0,1.0,2,1.0,0.1818181818181818,0.6363636363636364,0.5454545454545454,1,0,0
137,SYSTEM,I booked your train for 4 people. The reference number is T6X9JMIA and the total fee is 94.4 GBP. Is there anything else I can help you with?,Train-OfferBooked,,,,,,Train,OfferBooked,,6,13,,28,Medium,Positive,0,1.3333333333333333,0,0.9285714285714286,0.2857142857142857,0.3571428571428571,0.4642857142857143,1,0,0
138,USER,Does this train help those with a disability?,,4.0,3.0,3.0,,,,,3.33,6,14,3.33,8,High,Positive,0,1.0,2,1.0,0.125,0.375,0.625,1,0,0
139,SYSTEM,"Yes, this train provides assistance for those with disability. Anything else I can do for you?",,,,,,,,,,6,15,,16,Medium,Positive,0,1.5,2,0.9375,0.25,0.375,0.5,1,0,0
140,USER,Got it. Is there a charge to use WiFi on the train?,,4.0,3.0,3.0,,,,,3.33,6,16,3.33,12,High,Neutral,0,1.0,1,1.0,0.25,0.5,0.5,1,0,0
141,SYSTEM,"Yes, WiFi is available and it is free of charge. Could I help you with anything else?",,,,,,,,,,6,17,,17,Medium,Positive,0,1.0,1,0.9411764705882352,0.2941176470588235,0.4705882352941176,0.4705882352941176,1,0,0
142,USER,can I stay connected to the internet on this train?,,5.0,3.0,3.0,,,,,3.67,6,18,3.67,10,High,Neutral,0,1.0,1,1.0,0.3,0.5,0.6,1,0,0
143,SYSTEM,"Yes, you can use basic WiFi by connecting to GreatNorthern_WiFi. Is there anything else I can help you with?",,,,,,,,,,6,19,,19,Medium,Positive,0,1.5,0,0.8947368421052632,0.3157894736842105,0.4210526315789473,0.4736842105263157,1,0,0
144,USER,That will be everything. Thank you for you help.,general-thank,4.0,4.0,3.0,,,general,thank,3.67,6,20,3.67,9,High,Positive,1,1.5,1,0.8888888888888888,0.2222222222222222,0.6666666666666666,0.6666666666666666,0,0,0
145,USER,OVERALL,,4.0,4.0,3.0,,,,,3.67,6,21,3.67,1,High,Neutral,0,1.0,0,1.0,0.0,0.0,0.0,0,0,0
176,USER,I need a three star hotel with internet. Can you help?,Hotel-Inform,3.0,3.0,3.0,,,Hotel,Inform,3.0,8,0,3.0,11,Medium,Positive,0,1.0,0,1.0,0.2727272727272727,0.3636363636363636,0.4545454545454545,1,0,0
177,SYSTEM,"I'm sorry, I cannot help you with hotels. Are you sure that's what you're looking for?",Hotel-NoOffer,,,,,,Hotel,NoOffer,,8,1,,16,Medium,Negative,0,1.0,1,0.9375,0.3125,0.3125,0.4375,1,0,0
178,USER,I'm sorry. I meant to ask for information on a restaurant. It's called the Stazione Restaurant and Coffee Bar.,Restaurant-Inform,2.0,3.0,3.0,,,Restaurant,Inform,2.67,8,2,2.67,19,Low,Negative,0,1.0,1,1.0,0.3157894736842105,0.3157894736842105,0.4210526315789473,0,0,0
179,SYSTEM,"The stazione restaurant is an expensive, italian restaurant located in the centre area. Would you like me to make you a booking today?",Restaurant-Inform,,,,,,Restaurant,Inform,,8,3,,23,Medium,Positive,0,1.0,0,0.9130434782608696,0.3043478260869565,0.5217391304347826,0.4347826086956521,1,0,0
180,USER,"Yes, sounds wonderful. Can you book a table for 7 at 12:00 on Saturday?",Restaurant-Inform,4.0,4.0,3.0,,,Restaurant,Inform,3.67,8,4,3.67,14,High,Positive,0,1.0,0,1.0,0.2857142857142857,0.4285714285714285,0.4285714285714285,1,0,0
181,SYSTEM,The booking was successful. Your table will be reserved for 15 minutes and your reference number is TA6XS4CY.,Booking-Book,,,,,,Booking,Book,,8,5,,18,Medium,Positive,0,1.0,0,1.0,0.1666666666666666,0.3888888888888889,0.5,0,0,0
182,USER,Does it have vegetarian options?,,3.0,3.0,3.0,,,,,3.0,8,6,3.0,5,Medium,Neutral,0,1.0,1,1.0,0.4,0.4,0.6,1,0,0
183,SYSTEM,"Yes, they have both vegan and vegetarian dishes. What else may I help you with?",,,,,,,,,,8,7,,15,Medium,Positive,0,1.0,1,1.0,0.4,0.4,0.4666666666666667,1,0,0
184,USER,Can i get free wifi here?,,3.0,3.0,3.0,,,,,3.0,8,8,3.0,6,Medium,Positive,0,1.0,0,1.0,0.5,0.1666666666666666,0.3333333333333333,1,0,0
185,SYSTEM,The Sazione Restaurant and Coffee Bar doesn't offer free wifi at this time. What are you interested in trying?,,,,,,,,,,8,9,,19,Medium,Neutral,0,1.0,1,1.0,0.2105263157894736,0.4210526315789473,0.4736842105263157,1,0,0
186,USER,"Great. I also need to find an attraction in the center and would like to know what type, address and entrance fee you find.",Attraction-Request,2.0,3.0,3.0,,,Attraction,Request,2.67,8,10,2.67,24,Low,Positive,0,1.0,0,0.9166666666666666,0.1666666666666666,0.4583333333333333,0.4166666666666667,0,0,0
187,SYSTEM,Okay what kind of attraction are you looking for?,Attraction-Request,,,,,,Attraction,Request,,8,11,,9,Medium,Positive,0,1.0,0,1.0,0.2222222222222222,0.4444444444444444,0.4444444444444444,1,0,0
188,USER,"Anything you'd recommend, as long as it's in the centre.",Attraction-Inform,3.0,3.0,3.0,,,Attraction,Inform,3.0,8,12,3.0,10,Medium,Positive,0,3.0,1,0.9,0.2,0.4,0.6,0,0,0
189,SYSTEM,"I recommend the vue cinema, it's got a lot of great features to watch!",Attraction-Recommend,,,,,,Attraction,Recommend,,8,13,,14,Medium,Positive,0,2.0,1,1.0,0.2857142857142857,0.2857142857142857,0.4285714285714285,0,1,0
190,USER,"Sounds good! Could I have the address and entrance fee, please?",Attraction-Request,4.0,4.0,3.0,,,Attraction,Request,3.67,8,14,3.67,11,High,Positive,1,1.0,0,1.0,0.3636363636363636,0.3636363636363636,0.3636363636363636,1,1,0
191,SYSTEM,"Address is the grafton centre, east road, I do not know the entrance fee.",Attraction-Inform,,,,,,Attraction,Inform,,8,15,,14,Medium,Neutral,0,1.0,0,0.9285714285714286,0.3571428571428571,0.3571428571428571,0.4285714285714285,0,0,0
192,USER,Thanks! Do you have a phone number so I can find the entrance fee.,Attraction-Request,3.0,4.0,3.0,,,Attraction,Request,3.33,8,16,3.33,14,High,Positive,0,1.5,1,1.0,0.2142857142857142,0.5,0.5714285714285714,0,1,0
193,SYSTEM,The phone number is 08712240240.,Attraction-Inform,,,,,,Attraction,Inform,,8,17,,5,Medium,Positive,0,1.0,0,1.0,0.2,0.4,0.4,0,0,0
194,USER,Can you tell me what credit cards Stazione accepts?,,3.0,3.0,3.0,,,,,3.0,8,18,3.0,9,Medium,Positive,0,1.0,0,1.0,0.2222222222222222,0.4444444444444444,0.4444444444444444,1,0,0
195,SYSTEM,"They will accept American Express, Mastercard, and Visa credit cards. Do you have any other questions?",,,,,,,,,,8,19,,16,Medium,Positive,0,1.0,1,1.0,0.375,0.5,0.5,1,0,0
196,USER,Thank you! And this is a cinema attraction?,Attraction-Inform,4.0,4.0,3.0,,,Attraction,Inform,3.67,8,20,3.67,8,High,Positive,1,1.0,1,1.0,0.375,0.5,0.5,1,1,0
197,SYSTEM,Yes it is. Is there anything else I can do for you?,general-reqmore,,,,,,general,reqmore,,8,21,,12,Medium,Positive,0,1.5,1,1.0,0.25,0.5,0.5833333333333334,1,0,0
198,USER,I don't need anything else.,,3.0,3.0,3.0,,,,,3.0,8,22,3.0,5,Medium,Neutral,0,1.0,0,1.0,0.4,0.0,0.4,0,0,0
199,USER,OVERALL,,4.0,3.0,3.0,,,,,3.33,8,23,3.33,1,High,Neutral,0,1.0,0,1.0,0.0,0.0,0.0,0,0,0
254,USER,"Hello, I'm trying to find an international restaurant in the east. Any ideas?",Restaurant-Inform,3.0,3.0,3.0,3.0,,Restaurant,Inform,3.0,11,0,3.0,13,Medium,Neutral,0,1.0,0,1.0,0.3076923076923077,0.3846153846153846,0.3846153846153846,1,0,0
255,SYSTEM,"Yes, the missing sock is an international restaurant in the east in the cheap price range. Would you like a reservation?",Restaurant-Recommend,,,,,,Restaurant,Recommend,,11,1,,21,Medium,Positive,0,1.0,0,0.8571428571428571,0.1904761904761904,0.5238095238095238,0.4285714285714285,1,0,0
256,USER,"No, please give me their post code instead.",Restaurant-Request,2.0,2.0,3.0,2.0,,Restaurant,Request,2.25,11,2,2.29,8,Low,Positive,1,1.0,0,1.0,0.25,0.25,0.25,0,0,0
257,SYSTEM,The post code is cb259aq.,Restaurant-Inform,,,,,,Restaurant,Inform,,11,3,,5,Medium,Neutral,0,1.0,0,1.0,0.2,0.4,0.4,0,0,0
258,USER,I also need a hotel on the Southside.,Hotel-Inform,4.0,3.0,3.0,3.0,,Hotel,Inform,3.25,11,4,3.29,8,Medium,Neutral,0,1.0,0,1.0,0.25,0.375,0.5,0,0,0
259,SYSTEM,I have 1 hotel called the lensfield hotel located on 53-57 lensfield road.,Hotel-Inform,,,,,,Hotel,Inform,,11,5,,13,Medium,Neutral,0,1.0,0,0.8461538461538461,0.3846153846153846,0.2307692307692307,0.3076923076923077,0,0,0
260,USER,When is the checkin time?,,3.0,3.0,2.0,3.0,,,,2.75,11,6,2.71,5,Low,Neutral,0,1.0,0,1.0,0.4,0.6,0.6,1,0,0
261,SYSTEM,The check in time is 14:00. Would you like for me to book it for you?,,,,,,,,,,11,7,,16,Medium,Positive,0,1.5,1,0.9375,0.125,0.75,0.5625,1,0,0
262,USER,"Can you tell me if it offers free parking? Also, how many stars is the Lensfield?",Hotel-Inform,3.0,2.0,2.0,3.0,,Hotel,Inform,2.5,11,8,2.42,16,Low,Positive,0,1.0,1,1.0,0.1875,0.4375,0.5,2,0,0
263,SYSTEM,The Lenfield is a 3 star hotel. They do offer free parking.,Hotel-Inform,,,,,,Hotel,Inform,,11,9,,12,Medium,Positive,0,1.0,1,1.0,0.25,0.4166666666666667,0.4166666666666667,0,0,0
264,USER,Can you look for a 2 star hotel in that area if not available then could you try one that is in the east?,Hotel-Inform,2.0,2.0,2.0,3.0,,Hotel,Inform,2.25,11,10,2.13,24,Low,Neutral,1,3.0,2,0.875,0.0416666666666666,0.6666666666666666,0.5833333333333334,1,0,0
265,SYSTEM,"There is one located in the east, express by holiday inn cambridge. It has free internet and parking, would you like to book?",Hotel-Inform,,,,,,Hotel,Inform,,11,11,,23,Medium,Positive,0,1.0,1,1.0,0.2608695652173913,0.5652173913043478,0.4347826086956521,1,0,0
266,USER,Is there a hotel lift?,,3.0,3.0,2.0,3.0,,,,2.75,11,12,2.71,5,Low,Neutral,0,1.0,0,1.0,0.2,0.6,0.6,1,0,0
267,SYSTEM,There is a lift located on the Express by Holiday Inn Cambridge property. Would you like for me to book it for you?,,,,,,,,,,11,13,,23,Medium,Positive,0,1.5,1,0.9565217391304348,0.1739130434782608,0.6086956521739131,0.5217391304347826,1,0,0
268,USER,Yes I'd like to book 5 nights for 1 beginning on Tuesday. Could I get the reference number for that as well?,Hotel-Request,3.0,3.0,2.0,3.0,,Hotel,Request,2.75,11,14,2.71,22,Low,Positive,0,1.0,1,0.9545454545454546,0.1818181818181818,0.4090909090909091,0.3636363636363636,1,0,0
269,SYSTEM,How many guests will be staying?,Booking-Request,,,,,,Booking,Request,,11,15,,6,Medium,Neutral,0,1.0,0,1.0,0.1666666666666666,0.3333333333333333,0.5,1,0,0
270,USER,"Just one, thanks.",Hotel-Inform,3.0,3.0,3.0,3.0,,Hotel,Inform,3.0,11,16,3.0,3,Medium,Positive,0,1.0,0,1.0,0.6666666666666666,0.0,0.3333333333333333,0,0,0
271,SYSTEM,"You are all set, the reference number is 9WZD62FF, anything else that I can assist with?",Booking-Book,,,,,,Booking,Book,,11,17,,16,Medium,Positive,0,2.0,1,1.0,0.25,0.4375,0.5,1,0,0
272,USER,What are the nearest diners by the hotel?,Hotel-Inform,3.0,3.0,2.0,3.0,,Hotel,Inform,2.75,11,18,2.71,8,Low,Neutral,0,1.0,0,0.875,0.25,0.625,0.625,1,0,0
273,SYSTEM,"There is a Missing Sock off of Finders Corner Newmarket Road. it looks to be cheap, and is in the east side of the city.",Restaurant-Inform,,,,,,Restaurant,Inform,,11,19,,25,Medium,Negative,0,1.0,1,0.88,0.24,0.52,0.56,0,0,0
