index,Speaker,Text,Domain-Intent,Rating 1,Rating 2,Rating 3,Rating 4,Rating 5,Domain,Intent,avg_rating,ConvID,turn_id
0,USER,I'm looking for a cheap restaurant in the east part of town.,Restaurant-Inform,3.0,3.0,3.0,3.0,,Restaurant,Inform,3.0,0,0
1,SYSTEM,the missing sock is a nice restaurant in the east part of town in the cheap price range,Restaurant-Inform,,,,,,Restaurant,Inform,,0,1
2,USER,What is the address and phone number?,Restaurant-Request,3.0,3.0,3.0,3.0,,Restaurant,Request,3.0,0,2
3,SYSTEM,The address of The Missing Sock is Finders Corner Newmarket Road and the phone number is 01223 812660. May I help you with anything else today?,general-reqmore,,,,,,general,reqmore,,0,3
4,USER,Does this restaurant have highchairs for babies?,,3.0,3.0,3.0,3.0,,,,3.0,0,4
5,SYSTEM,I'm afraid there is no high chair seating available here. You can contact restaurant to see if they will allow you to bring your own.,,,,,,,,,,0,5
6,USER,Does this restaurant offer delivery services?,,3.0,3.0,2.0,3.0,,,,2.75,0,6
7,SYSTEM,"I'm sorry, they do not offer delivery services. Anything else I can do for you?",,,,,,,,,,0,7
8,USER,Does The Missing Sock have vegetarian options?,,3.0,3.0,2.0,3.0,,,,2.75,0,8
9,SYSTEM,No vegetarian options are currently at THE MISSING SOCK. Do you need anything else?,,,,,,,,,,0,9
10,USER,"No, thank you, I have everything I need. Thank you and goodbye!",general-thank,3.0,3.0,2.0,3.0,,general,thank,2.75,0,10
11,SYSTEM,Thank you for using our system. Good bye,general-bye,,,,,,general,bye,,0,11
12,USER,Goodbye.,general-bye,3.0,3.0,3.0,3.0,,general,bye,3.0,0,12
13,USER,OVERALL,,3.0,3.0,2.0,3.0,,,,2.75,0,13
14,USER,"Hi, I will be traveling to Cambridge and am excited about seeing local tourist attractions.",Attraction-Inform,3.0,4.0,3.0,,,Attraction,Inform,3.33,1,0
15,SYSTEM,Oh I'm super excited for you! Anything in particular you'd like to check out? How about some architecture?,Attraction-Select,,,,,,Attraction,Select,,1,1
16,USER,"Actually, I would prefer a nightclub.",Attraction-Inform,3.0,4.0,3.0,,,Attraction,Inform,3.33,1,2
17,SYSTEM,There are 5 different nightclubs here in Cambridge. Do you have a specific type in mind?,Attraction-Inform,,,,,,Attraction,Inform,,1,3
18,USER,"No specific type, I just need the area that it's in, please.",Attraction-Request,3.0,3.0,3.0,,,Attraction,Request,3.0,1,4
19,SYSTEM,All nightclubs are located in the centre.,Attraction-Inform,,,,,,Attraction,Inform,,1,5
20,USER,Thank you. I'm also looking for a hotel in the north with a star of 4.,Hotel-Inform,3.0,4.0,3.0,,,Hotel,Inform,3.33,1,6
21,SYSTEM,I'm sorry but there are no hotels that meet your criteria. Would you like to try another area?,Hotel-Request,,,,,,Hotel,Request,,1,7
22,USER,"Let's try 3 star hotels, instead.",Hotel-Inform,2.0,3.0,3.0,,,Hotel,Inform,2.67,1,8
23,SYSTEM,still no hotels match your criteria,Hotel-NoOffer,,,,,,Hotel,NoOffer,,1,9
24,USER,Can you check to see if there is a guesthouse available instead of hotel? Something in the North with a star of 4 and free wifi.,Hotel-Inform,2.0,3.0,3.0,,,Hotel,Inform,2.67,1,10
25,SYSTEM,There are 8 guesthouses in the north with 4 stars and free internet. Are you looking for parking as well?,Hotel-Request,,,,,,Hotel,Request,,1,11
26,USER,"No, can you recommend me a good one?",,2.0,2.0,3.0,,,,,2.33,1,12
27,SYSTEM,"The archway house would be a great choice. It's located at 52 gilbert road, cb43pe. Would you like me to try and book a stay for you?",Booking-Inform,,,,,,Booking,Inform,,1,13
28,USER,No thanks. Could you just tell me their phone umber and price range?,Hotel-Request,2.0,2.0,3.0,,,Hotel,Request,2.33,1,14
29,SYSTEM,"The archway house's phone number is 01223575314, it's a moderately priced guesthouse. Can I get you any more information?",general-reqmore,,,,,,general,reqmore,,1,15
