conv_id,satisfaction_rating,predicted_label
1,Low,high
2,Low,medium
3,Low,medium
4,Medium,medium
5,Medium,medium
6,Low,medium
7,High,medium
8,Medium,medium
9,Medium,medium
10,Low,medium
11,Medium,medium
12,Low,medium
13,Medium,medium
14,Low,medium
15,Medium,medium
16,Low,medium
17,Medium,medium
18,Low,medium
19,High,medium
20,Low,medium
21,Medium,medium
22,Medium,medium
23,Low,medium
24,Low,medium
25,Medium,medium
26,Low,medium
27,Medium,medium
28,Low,medium
29,Medium,medium
30,Low,medium
31,Low,medium
32,High,medium
33,Low,medium
34,Medium,medium
35,High,medium
36,Low,medium
37,Low,medium
38,Medium,medium
39,Low,medium
40,Medium,medium
41,Low,medium
42,Medium,medium
43,Medium,medium
44,Medium,medium
45,Medium,medium
46,High,medium
47,Medium,medium
48,Low,medium
49,Medium,medium
50,Low,medium
