conv_id,satisfaction_rating,predicted_label
137,High,medium
412,Low,medium
514,Medium,low
522,Medium,low
627,Medium,medium
661,Low,low
679,Medium,medium
738,Low,low
741,Low,low
860,Medium,medium
77,Low,low
281,Low,low
637,Low,low
762,Low,high
812,Medium,high
884,Medium,medium
900,Low,low
939,Medium,medium
974,Low,medium
102,High,high
175,Low,medium
211,Low,low
236,Low,high
320,Medium,high
372,Low,medium
528,Medium,high
550,Medium,low
987,Low,high
140,Low,medium
199,Low,high
347,Low,low
371,Medium,low
500,Low,medium
585,Medium,high
622,Medium,high
688,Medium,medium
903,Medium,high
948,Medium,medium
60,Medium,low
97,Low,low
278,Low,low
300,Low,low
313,Low,medium
329,Medium,medium
902,Low,low
925,Medium,medium
975,Medium,medium
24,Low,high
262,Medium,medium
440,Low,low
571,Low,medium
579,Medium,high
602,Medium,low
838,Low,high
880,Low,low
11,Medium,medium
31,Low,low
222,Medium,low
297,Low,medium
618,Low,low
821,Low,high
71,Low,low
108,Low,medium
210,High,medium
543,Medium,high
544,Low,medium
605,Medium,low
663,Low,medium
693,Low,low
867,Low,high
290,Medium,medium
293,Low,high
308,Low,high
494,Low,high
590,Low,medium
591,Low,low
680,Low,high
742,Low,low
67,Medium,low
68,Low,low
276,Low,low
319,Low,medium
549,Low,medium
715,Low,medium
754,Medium,low
999,Medium,low
219,Low,low
328,Medium,low
383,Medium,low
437,Medium,low
452,Low,low
523,High,low
788,Low,medium
64,Low,low
89,Medium,low
257,Medium,medium
352,Medium,medium
717,Low,high
765,Medium,high
827,High,medium
937,Low,medium
169,Low,low
529,Low,medium
555,Medium,low
636,Medium,high
645,Low,medium
824,Low,high
918,Low,low
960,Medium,low
87,Low,medium
185,Low,medium
295,Low,low
433,Low,medium
535,Low,medium
817,Low,low
979,Low,high
986,Low,high
261,Medium,high
426,Low,low
446,Low,medium
560,Low,high
584,Medium,low
714,Low,medium
893,Low,high
266,Medium,medium
530,High,low
600,High,low
801,High,medium
850,Low,low
868,Medium,low
996,Low,low
26,Low,low
56,Medium,high
73,Low,medium
121,Medium,low
216,Low,medium
248,Low,high
282,Medium,medium
722,Low,high
159,Low,medium
245,Low,low
322,Medium,low
644,Low,medium
811,Low,high
823,Low,high
894,Low,low
915,Low,high
61,High,medium
310,Medium,medium
430,Low,low
463,Low,low
698,Low,medium
942,Low,low
978,Low,low
299,Medium,medium
315,Medium,medium
596,Low,low
650,Low,medium
651,Low,medium
669,Low,medium
690,Low,medium
768,Low,low
866,Low,medium
885,Low,high
111,Low,medium
255,Medium,high
260,Medium,low
311,Medium,high
362,Medium,low
364,Low,medium
480,Medium,medium
487,Medium,low
803,Low,medium
990,Low,low
138,Medium,low
378,Low,low
495,Medium,low
527,Medium,low
671,High,low
846,Medium,low
200,Low,medium
214,Medium,medium
356,Medium,low
366,Low,low
657,Medium,high
750,High,high
830,Medium,high
943,Medium,medium
949,Low,high
30,Low,low
79,Medium,low
209,Low,low
333,High,medium
409,High,high
536,High,high
558,High,low
614,Low,low
696,Low,medium
66,Medium,medium
142,Medium,medium
166,Medium,medium
496,Medium,low
597,Low,low
825,Medium,medium
837,Low,low
919,Low,low
250,Low,low
332,Low,medium
656,Medium,high
665,Medium,high
709,Medium,medium
828,Medium,medium
908,Low,low
926,Low,low
3,Low,low
50,Low,medium
306,Medium,low
351,Medium,low
545,Low,low
735,Medium,low
897,Low,medium
905,Medium,medium
976,Medium,low
32,High,high
34,Medium,medium
232,Medium,high
345,Low,medium
482,Low,low
537,Medium,high
576,Medium,medium
964,Low,medium
995,Low,low
110,Medium,medium
307,High,low
334,Medium,low
431,Medium,medium
515,High,low
800,Medium,medium
78,High,low
83,Low,low
85,Low,low
287,Low,low
399,Medium,medium
790,Low,low
895,Low,medium
992,Medium,high
6,Low,high
98,High,high
267,Low,medium
324,Low,low
358,Medium,medium
466,Medium,medium
520,Medium,medium
732,Low,medium
917,Medium,medium
923,Low,low
119,Low,medium
381,Medium,medium
382,Medium,medium
491,High,medium
632,Low,low
799,Medium,low
869,Medium,low
901,Low,low
10,Low,low
82,Low,medium
197,High,medium
251,Low,low
524,Medium,low
588,Medium,medium
604,Low,low
784,High,medium
212,High,medium
228,Low,high
240,Medium,low
291,Medium,medium
360,Medium,medium
450,Medium,medium
718,Medium,high
798,Low,high
363,Low,low
465,Low,medium
469,Low,low
502,Medium,medium
797,Low,medium
936,Medium,medium
947,Medium,low
951,Medium,low
8,Medium,low
156,Medium,medium
429,Medium,high
