conv_id,satisfaction_rating,predicted_label
137,High,medium
412,Low,medium
514,Medium,low
522,Medium,low
627,Medium,high
661,Low,medium
679,Medium,medium
738,Low,high
741,Low,low
860,Medium,medium
77,Low,low
281,Low,medium
637,Low,medium
762,Low,high
812,Medium,high
884,Medium,medium
900,Low,medium
939,Medium,medium
974,Low,high
102,High,medium
175,Low,low
211,Low,low
236,Low,medium
320,Medium,low
372,Low,medium
528,Medium,medium
550,Medium,high
987,Low,medium
140,Low,high
199,Low,high
347,Low,medium
371,Medium,medium
500,Low,medium
585,Medium,high
622,Medium,high
688,Medium,high
903,Medium,high
948,Medium,high
60,Medium,low
97,Low,medium
278,Low,medium
300,Low,low
313,Low,medium
329,Medium,medium
902,Low,high
925,Medium,medium
975,Medium,medium
24,Low,high
262,Medium,medium
440,Low,medium
571,Low,medium
579,Medium,high
602,Medium,low
838,Low,high
880,Low,low
11,Medium,medium
31,Low,low
55,High,medium
222,Medium,low
297,Low,medium
618,Low,high
821,Low,high
71,Low,low
108,Low,high
210,High,high
544,Low,medium
605,Medium,low
693,Low,low
867,Low,high
290,Medium,high
293,Low,high
308,Low,medium
494,Low,high
590,Low,medium
591,Low,low
680,Low,high
742,Low,medium
67,Medium,high
68,Low,medium
276,Low,high
319,Low,medium
549,Low,medium
715,Low,medium
754,Medium,low
999,Medium,medium
219,Low,low
328,Medium,low
383,Medium,high
437,Medium,medium
452,Low,medium
523,High,medium
788,Low,medium
64,Low,medium
89,Medium,high
257,Medium,medium
352,Medium,medium
717,Low,high
827,High,low
937,Low,medium
169,Low,low
529,Low,medium
555,Medium,medium
636,Medium,low
645,Low,high
824,Low,high
918,Low,low
960,Medium,medium
87,Low,low
185,Low,medium
295,Low,low
433,Low,medium
535,Low,medium
817,Low,medium
979,Low,high
986,Low,high
261,Medium,medium
426,Low,high
446,Low,medium
560,Low,medium
584,Medium,medium
714,Low,medium
893,Low,low
266,Medium,medium
530,High,low
600,High,medium
801,High,low
850,Low,low
996,Low,low
26,Low,low
56,Medium,low
73,Low,medium
121,Medium,high
216,Low,medium
248,Low,high
282,Medium,medium
722,Low,high
159,Low,medium
245,Low,low
322,Medium,low
644,Low,medium
811,Low,high
823,Low,high
894,Low,low
915,Low,high
61,High,medium
310,Medium,high
430,Low,high
463,Low,medium
698,Low,medium
942,Low,medium
978,Low,low
299,Medium,medium
315,Medium,medium
596,Low,low
650,Low,medium
651,Low,medium
669,Low,medium
690,Low,medium
768,Low,medium
866,Low,medium
885,Low,low
111,Low,low
255,Medium,medium
260,Medium,low
311,Medium,low
362,Medium,high
364,Low,medium
480,Medium,high
487,Medium,low
803,Low,medium
990,Low,low
138,Medium,low
378,Low,low
495,Medium,high
527,Medium,medium
671,High,medium
678,Low,low
846,Medium,medium
200,Low,medium
214,Medium,medium
356,Medium,low
366,Low,high
657,Medium,high
750,High,high
830,Medium,high
943,Medium,medium
949,Low,high
30,Low,low
79,Medium,low
209,Low,low
333,High,medium
409,High,high
536,High,high
558,High,medium
614,Low,medium
696,Low,medium
66,Medium,medium
142,Medium,medium
166,Medium,medium
496,Medium,low
597,Low,medium
825,Medium,high
837,Low,low
919,Low,low
250,Low,low
332,Low,medium
656,Medium,low
665,Medium,medium
709,Medium,low
828,Medium,high
908,Low,low
926,Low,low
3,Low,low
50,Low,medium
306,Medium,low
351,Medium,medium
545,Low,low
735,Medium,high
897,Low,high
905,Medium,medium
976,Medium,low
32,High,high
34,Medium,medium
232,Medium,medium
345,Low,medium
482,Low,low
537,Medium,high
576,Medium,medium
964,Low,medium
995,Low,low
4,Medium,medium
110,Medium,medium
193,High,low
205,Medium,medium
307,High,medium
334,Medium,high
515,High,medium
800,Medium,high
78,High,high
83,Low,low
85,Low,medium
287,Low,medium
431,Medium,low
790,Low,medium
895,Low,medium
992,Medium,high
6,Low,high
98,High,high
267,Low,medium
324,Low,high
399,Medium,low
466,Medium,medium
520,Medium,medium
732,Low,medium
917,Medium,high
923,Low,low
119,Low,medium
358,Medium,low
381,Medium,medium
382,Medium,medium
491,High,medium
632,Low,low
799,Medium,high
869,Medium,high
10,Low,low
82,Low,medium
197,High,medium
251,Low,high
524,Medium,medium
604,Low,medium
901,Low,low
212,High,medium
240,Medium,medium
291,Medium,medium
360,Medium,medium
588,Medium,medium
718,Medium,medium
784,High,low
798,Low,high
228,Low,high
363,Low,low
450,Medium,low
465,Low,medium
502,Medium,medium
797,Low,medium
947,Medium,medium
951,Medium,medium
8,Medium,low
156,Medium,medium
429,Medium,medium
936,Medium,high
