conv_id,satisfaction_rating,predicted_label
412,Low,high
522,Medium,high
627,Medium,high
661,Low,medium
679,Medium,medium
738,Low,low
741,Low,medium
77,Low,high
137,High,high
514,Medium,low
637,Low,medium
812,Medium,high
860,Medium,medium
281,Low,high
762,Low,high
884,Medium,high
900,Low,medium
939,Medium,high
974,Low,high
175,Low,high
211,Low,low
236,Low,high
320,Medium,medium
372,Low,high
528,Medium,medium
550,Medium,high
102,High,high
140,Low,medium
347,Low,low
903,Medium,high
948,Medium,medium
987,Low,high
199,Low,high
371,Medium,medium
500,Low,high
585,Medium,high
622,Medium,medium
688,Medium,high
902,Low,medium
60,Medium,high
97,Low,medium
278,Low,low
300,Low,low
313,Low,medium
329,Medium,high
975,Medium,high
440,Low,high
571,Low,medium
602,Medium,low
838,Low,high
880,Low,medium
925,Medium,low
24,Low,high
31,Low,medium
262,Medium,low
579,Medium,medium
618,Low,low
11,Medium,high
55,High,medium
222,Medium,low
297,Low,high
543,Medium,medium
821,Low,high
210,High,high
605,Medium,medium
663,Low,low
693,Low,medium
867,Low,high
108,Low,high
494,Low,medium
544,Low,low
591,Low,medium
742,Low,medium
1,Low,Conversation 40: high
2,Low,Conversation 290: low
3,Low,Conversation 293: medium
4,Medium,Conversation 308: high
5,Medium,Conversation 590: medium
6,Low,Conversation 653: medium
7,High,Conversation 680: high
67,Medium,high
68,Low,high
276,Low,medium
319,Low,high
549,Low,medium
999,Medium,low
328,Medium,high
383,Medium,medium
452,Low,low
715,Low,medium
754,Medium,low
219,Low,high
437,Medium,high
523,High,high
765,Medium,medium
788,Low,high
64,Low,high
89,Medium,medium
352,Medium,low
717,Low,medium
827,High,high
257,Medium,high
555,Medium,medium
636,Medium,low
645,Low,medium
937,Low,low
960,Medium,medium
529,Low,high
824,Low,medium
918,Low,low
986,Low,high
87,Low,high
185,Low,medium
433,Low,high
535,Low,high
817,Low,medium
979,Low,low
261,Medium,high
295,Low,medium
426,Low,high
714,Low,medium
893,Low,high
238,Medium,high
446,Low,low
560,Low,medium
584,Medium,low
868,Medium,low
266,Medium,high
530,High,medium
600,High,low
801,High,medium
850,Low,low
996,Low,medium
26,Low,high
45,Medium,low
56,Medium,medium
73,Low,low
121,Medium,medium
216,Low,medium
1,Low,high
2,Low,medium
3,Low,high
4,Medium,high
159,Low,high
245,Low,medium
322,Medium,low
644,Low,medium
811,Low,high
823,Low,high
310,Medium,high
430,Low,medium
463,Low,low
942,Low,low
978,Low,medium
596,Low,high
698,Low,medium
768,Low,low
885,Low,medium
299,Medium,high
315,Medium,low
650,Low,medium
651,Low,high
669,Low,high
690,Low,low
866,Low,medium
111,Low,low
311,Medium,medium
362,Medium,high
480,Medium,medium
487,Medium,low
990,Low,medium
255,Medium,high
260,Medium,low
364,Low,medium
495,Medium,high
678,Low,medium
803,Low,high
138,Medium,high
378,Low,medium
527,Medium,high
671,High,medium
846,Medium,high
356,Medium,high
366,Low,high
750,High,high
830,Medium,high
949,Low,high
200,Low,high
209,Low,low
214,Medium,medium
333,High,low
409,High,high
657,Medium,high
30,Low,high
79,Medium,medium
536,High,high
558,High,low
614,Low,medium
696,Low,medium
166,Medium,high
496,Medium,medium
597,Low,low
837,Low,low
919,Low,medium
1,Low,low
2,Low,medium
3,Low,low
4,Medium,high
5,Medium,low
250,Low,high
306,Medium,low
332,Low,medium
665,Medium,high
709,Medium,low
908,Low,medium
50,Low,low
545,Low,low
735,Medium,medium
897,Low,high
976,Medium,low
345,Low,high
351,Medium,medium
482,Low,low
537,Medium,medium
905,Medium,high
995,Low,medium
32,High,high
34,Medium,medium
193,High,high
232,Medium,high
576,Medium,medium
964,Low,medium
4,Medium,high
205,Medium,high
334,Medium,medium
515,High,medium
800,Medium,high
78,High,high
85,Low,medium
110,Medium,medium
287,Low,low
307,High,high
431,Medium,high
83,Low,high
399,Medium,medium
790,Low,low
895,Low,high
992,Medium,high
6,Low,high
98,High,high
324,Low,low
466,Medium,medium
520,Medium,medium
732,Low,medium
917,Medium,medium
923,Low,low
267,Low,high
358,Medium,medium
381,Medium,low
632,Low,low
799,Medium,high
869,Medium,medium
119,Low,high
382,Medium,high
491,High,medium
901,Low,low
10,Low,high
197,High,medium
251,Low,medium
524,Medium,medium
604,Low,low
240,Medium,high
291,Medium,medium
588,Medium,low
784,High,high
798,Low,high
212,High,high
228,Low,medium
360,Medium,medium
450,Medium,low
718,Medium,medium
951,Medium,medium
