Transition,Frequency (%)
general-reqmore -> general-thank,38.95547945205479
general-thank -> general-bye,4.023972602739726
general-bye -> general-bye,1.1986301369863013
general-thank -> general-thank,4.280821917808219
general-reqmore -> general-reqmore,15.068493150684931
general-greet -> general-thank,2.73972602739726
general-bye -> general-thank,2.1404109589041096
general-thank -> general-reqmore,12.92808219178082
general-reqmore -> general-bye,6.592465753424658
general-reqmore -> general-greet,1.0273972602739725
general-greet -> general-reqmore,2.3116438356164384
general-thank -> general-welcome,2.996575342465753
general-welcome -> general-thank,1.7123287671232876
general-welcome -> general-bye,0.8561643835616438
general-bye -> general-welcome,0.17123287671232876
general-reqmore -> general-welcome,0.7705479452054794
general-welcome -> general-reqmore,0.3424657534246575
general-bye -> general-greet,0.4280821917808219
general-thank -> general-greet,0.4280821917808219
general-greet -> general-greet,0.2568493150684931
general-bye -> general-reqmore,0.3424657534246575
general-greet -> general-bye,0.3424657534246575
general-welcome -> general-welcome,0.08561643835616438
