conv_id,satisfaction_rating,predicted_label
137,High,low
412,Low,low
514,Medium,low
522,Medium,low
627,Medium,low
661,Low,low
679,Medium,low
738,Low,low
741,Low,low
860,Medium,low
77,Low,low
281,Low,medium
637,Low,medium
762,Low,high
812,Medium,high
884,Medium,high
900,Low,low
939,Medium,high
974,Low,medium
102,High,low
175,Low,low
211,Low,low
236,Low,low
320,Medium,low
372,Low,low
528,Medium,low
550,Medium,low
987,Low,low
140,Low,medium
199,Low,high
347,Low,low
371,Medium,medium
500,Low,medium
585,Medium,medium
622,Medium,medium
688,Medium,medium
903,Medium,low
948,Medium,low
60,Medium,low
97,Low,low
278,Low,medium
300,Low,low
313,Low,medium
329,Medium,medium
902,Low,low
925,Medium,medium
975,Medium,medium
24,Low,high
31,Low,medium
262,Medium,high
440,Low,low
571,Low,medium
579,Medium,high
602,Medium,low
838,Low,high
880,Low,low
11,Medium,low
55,High,medium
210,High,high
222,Medium,low
297,Low,medium
543,Medium,low
618,Low,low
821,Low,high
71,Low,high
108,Low,high
494,Low,medium
544,Low,medium
591,Low,low
605,Medium,low
663,Low,low
693,Low,low
867,Low,medium
40,Medium,high
67,Medium,medium
276,Low,medium
290,Medium,low
293,Low,low
308,Low,high
590,Low,medium
653,Medium,medium
680,Low,high
742,Low,low
319,Low,low
328,Medium,low
383,Medium,medium
549,Low,medium
715,Low,medium
754,Medium,low
999,Medium,low
89,Medium,low
219,Low,low
437,Medium,medium
452,Low,low
523,High,medium
765,Medium,low
788,Low,medium
64,Low,low
257,Medium,medium
352,Medium,low
555,Medium,medium
636,Medium,medium
645,Low,medium
717,Low,medium
827,High,low
937,Low,low
87,Low,low
169,Low,low
529,Low,low
817,Low,low
824,Low,low
918,Low,low
960,Medium,low
986,Low,low
185,Low,low
295,Low,low
426,Low,medium
433,Low,low
535,Low,medium
714,Low,medium
893,Low,medium
979,Low,high
238,Medium,high
261,Medium,low
446,Low,low
560,Low,medium
584,Medium,low
600,High,medium
801,High,medium
868,Medium,low
26,Low,medium
56,Medium,medium
121,Medium,medium
216,Low,medium
266,Medium,low
530,High,low
850,Low,low
996,Low,low
45,Medium,low
245,Low,low
248,Low,low
282,Medium,medium
722,Low,medium
811,Low,high
894,Low,high
915,Low,high
1,Low,Conversation 823: low
2,Low,Conversation 322: low
3,Low,Conversation 644: medium
4,Medium,Conversation 159: low
5,Medium,Conversation 978: low
6,Low,Conversation 430: medium
7,High,Conversation 942: low
8,Medium,Conversation 463: medium
9,Medium,Conversation 310: medium
596,Low,low
650,Low,medium
651,Low,medium
669,Low,medium
698,Low,low
768,Low,low
866,Low,medium
885,Low,medium
111,Low,medium
299,Medium,low
311,Medium,low
315,Medium,medium
362,Medium,medium
364,Low,medium
480,Medium,medium
487,Medium,low
690,Low,low
990,Low,medium
255,Medium,low
260,Medium,low
378,Low,low
495,Medium,medium
527,Medium,medium
671,High,low
678,Low,low
803,Low,medium
138,Medium,low
356,Medium,low
366,Low,low
750,High,medium
830,Medium,high
846,Medium,low
943,Medium,medium
949,Low,medium
30,Low,high
79,Medium,low
200,Low,low
209,Low,low
214,Medium,low
333,High,low
409,High,medium
536,High,medium
614,Low,low
696,Low,medium
66,Medium,medium
166,Medium,medium
496,Medium,low
558,High,low
597,Low,medium
825,Medium,high
837,Low,low
919,Low,low
142,Medium,high
250,Low,low
332,Low,medium
656,Medium,high
665,Medium,medium
709,Medium,medium
828,Medium,medium
908,Low,low
926,Low,low
3,Low,low
50,Low,medium
306,Medium,low
351,Medium,low
545,Low,low
735,Medium,low
897,Low,medium
905,Medium,medium
976,Medium,low
32,High,high
34,Medium,medium
232,Medium,high
345,Low,medium
482,Low,low
537,Medium,low
576,Medium,medium
964,Low,medium
995,Low,low
4,Medium,medium
110,Medium,high
193,High,low
205,Medium,medium
307,High,high
334,Medium,low
431,Medium,high
515,High,medium
800,Medium,high
78,High,low
83,Low,low
85,Low,low
287,Low,low
399,Medium,high
790,Low,low
895,Low,medium
992,Medium,high
6,Low,high
98,High,high
267,Low,medium
324,Low,low
358,Medium,medium
466,Medium,high
520,Medium,low
732,Low,medium
917,Medium,medium
923,Low,low
119,Low,medium
381,Medium,low
382,Medium,medium
491,High,medium
632,Low,low
799,Medium,medium
869,Medium,low
901,Low,low
10,Low,low
82,Low,low
197,High,low
251,Low,low
524,Medium,low
588,Medium,low
604,Low,low
784,High,low
212,High,low
228,Low,high
240,Medium,low
291,Medium,low
360,Medium,medium
450,Medium,medium
718,Medium,medium
798,Low,low
363,Low,low
465,Low,medium
469,Low,low
502,Medium,medium
797,Low,low
936,Medium,medium
947,Medium,low
951,Medium,low
8,Medium,high
156,Medium,medium
