conv_id,conv_text,average_rating,satisfaction_rating,sentiment,token_count
1,"USER I'm looking for a cheap restaurant in the east part of town.
SYSTEM the missing sock is a nice restaurant in the east part of town in the cheap price range
USER What is the address and phone number?
SYSTEM The address of The Missing Sock is Finders Corner Newmarket Road and the phone number is 01223 812660. May I help you with anything else today?
USER Does this restaurant have highchairs for babies?
SYSTEM I'm afraid there is no high chair seating available here. You can contact restaurant to see if they will allow you to bring your own.
USER Does this restaurant offer delivery services?
SYSTEM I'm sorry, they do not offer delivery services. Anything else I can do for you?
USER Does The Missing Sock have vegetarian options?
SYSTEM No vegetarian options are currently at THE MISSING SOCK. Do you need anything else?
USER No, thank you, I have everything I need. Thank you and goodbye!
SYSTEM Thank you for using our system. Good bye
USER Goodbye.
USER OVERALL",2.75,Low,Positive,173
2,"USER Hi, I will be traveling to Cambridge and am excited about seeing local tourist attractions.
SYSTEM Oh I'm super excited for you! Anything in particular you'd like to check out? How about some architecture?
USER Actually, I would prefer a nightclub.
SYSTEM There are 5 different nightclubs here in Cambridge. Do you have a specific type in mind?
USER No specific type, I just need the area that it's in, please.
SYSTEM All nightclubs are located in the centre.
USER Thank you. I'm also looking for a hotel in the north with a star of 4.
SYSTEM I'm sorry but there are no hotels that meet your criteria. Would you like to try another area?
USER Let's try 3 star hotels, instead.
SYSTEM still no hotels match your criteria
USER Can you check to see if there is a guesthouse available instead of hotel? Something in the North with a star of 4 and free wifi.
SYSTEM There are 8 guesthouses in the north with 4 stars and free internet. Are you looking for parking as well?
USER No, can you recommend me a good one?
SYSTEM The archway house would be a great choice. It's located at 52 gilbert road, cb43pe. Would you like me to try and book a stay for you?
USER No thanks. Could you just tell me their phone umber and price range?
SYSTEM The archway house's phone number is 01223575314, it's a moderately priced guesthouse. Can I get you any more information?
USER I would also like to book a taxi from the Archway House to one of the nightclubs you mentioned. I would like to leave the hotel by 09:45.
SYSTEM Certainly. What is your destination?
USER Could you recommend a nightclub from the previous search?
SYSTEM Yeah, the ballare is great. It's in the centre of town.
USER No, I did mean 09:45, thank you.
SYSTEM Okay great, the car will be a black honda and the contact number is 07537395912. Is that all you need today?
USER Will it be possible to cancel my taxi booking later if my plans change?
SYSTEM Sure, you can cancel your taxi reservation without a fee up to 24 hours before your trip. Would you like help finding any other destinations to visit in the evening?
USER My plan is not confirmed yet. So I may need to change your taxi booking later. Is that possible for my booking?
SYSTEM You can cancel 24 hours in advance. After that only minor changes can be made. Would you like any more assistance?
USER Will I be required to pay at the toll gate?
SYSTEM No. Toll charges are included in the price. Anything else?
USER No, I wanted to check things out during the day time. But thanks for making sure.
USER OVERALL",2.67,Low,Positive,468
3,"USER I am looking for a cheap two star hotel in the North can you help?
SYSTEM Unfortunately, there is nothing available in that area.
USER Then can you find a hotel in the west with a moderate price range that includes free wifi?
SYSTEM There is nothing like that available either. Would you like to try searching for something else?
USER how about one that has free parking?
SYSTEM There are two hotels in the west that have free parking. One is in the expensive price range and one is in the cheap range. Which would you prefer?
USER I would prefer the cheap range. Can you book for me 8 people for four nights beginning on Friday? I will need the reference number.
SYSTEM The booking was successful. Your reference number is : WPCH771U. You will be staying at The Cambridge Belfry in the west area.
USER Great, thank you. Can you also help me find something fun for me to do while I am in town?
SYSTEM I would suggest visiting the old schools.
USER Does the hotel allow children to stay?
SYSTEM Yes, the hotel allows customers with children to book rooms there. Do you need any further help?
USER Does the hotel offer cooking facilities for guests?
SYSTEM The Cambridge Belfry has only a coffee and tea maker for guests at this time. Do you have any other hotel questions?
USER Does the hotel have parking facilities?
SYSTEM There is free parking available at this location. Would you like any more information?
USER Are there any parks around?
SYSTEM There are several parks in town. In the centre there's the Cambridge University Botanic Gardens, and a few others in the north, east, and south. Do you have a preference?
USER I would it to be in the east and could I get a postcode. Thanks goodbye
USER OVERALL",3.0,Low,Positive,313
4,"USER Can you recommend a good restaurant in the north part of town that serves Australasian food?
SYSTEM There are not restaurants matching your request. May I help you find a different restaurant?
USER How about Indian food instead?
SYSTEM There are two Indian restaurants in the north part of town. What price range are you looking for?
USER What are the price ranges of the two available restaurants?
SYSTEM One of them is cheap and the other is moderately price.
USER Tell me the address of the moderately priced one.
SYSTEM The Nirala is located at 7 Milton Street Chesterton.
USER Can you let me know if the Nirala offers any kind of delivery services?
SYSTEM The Nirala unfortunately does not deliver. Do you have any other questions about this restaurant?
USER Would you be able to tell me if they have chairs for babies to sit in?
SYSTEM The Nirala does provide highchairs for babies. Do you need anything else?
USER Is there free wifi for dine in customers?
SYSTEM Wifi is not shown to be provided. Do you have additional questions about the restaurant?
USER What is the phone number?
SYSTEM The phone number for the Nirala is 01223 360966. Is there anything else I can help you with?
USER No thank you, goodbye
USER OVERALL",3.5,Medium,Positive,219
5,"USER I need a place to stay in Cambridge that includes free wifi. I don't need free parking.
SYSTEM Would you like to try cityroomz? I can book it for you?
USER Is it in the West? what is the price range?
SYSTEM Cityroomz is moderately priced and in the centre. Are you open to places that offer free parking, or do you specifically want to avoid it?
USER What is the check-in time at the hotel?
SYSTEM You may check in at 13:00 - 1900. What else can I do for you today?
USER I'm open to it, and I suppose the centre will do. But I'd prefer the west side if there is one.
SYSTEM I'm so sorry. There are no hotels on the west side that match your requests.
USER That's okay, Cityroomz will work. Can you book it for 3 people for 2 nights starting on Tuesday?
SYSTEM Reference number is : Z9RFJQ4W. Anything else you need?
USER Could I get an extra bed in my hotel room?
SYSTEM There are no extra beds available there are you looking for anything else? Should I make a reservation for you anyway?
USER Yes I am looking for a Train that departs from Cambridge and arrives at Birmingham New Street.
SYSTEM Ok. When were you looking to leave?
USER I will be leaving on Wednesday after 14:30.
SYSTEM There are 9 trains listed. Would you like tickets for one of them?
USER Yes. Please select the first train available after 14:30 and book 3 tickets. then provide me the reference number
SYSTEM Booking was successful, the total fee is 225.3 GBP payable at the station. Reference number is : XMBOA4E1. Can I help with anything else?
USER What are the operating hours of the Cambridge train station?
SYSTEM During the week they are open 5AM - 11PM. On Sunday they are open 7AM - 10:55PM. Does that complete my work for you?
USER That is all for now. Thank you
USER OVERALL",3.33,Medium,Positive,334
6,"USER I'd like to find out if there's a particular attraction in Cambridge called kambar
SYSTEM Yes, Kambar is a nightclub in the centre of town. Can I give you some information on it?
USER Yes please, can I get the postcode, phone number, and address?
SYSTEM Sure the address is 1 wheeler street,postcode is cb23qb and the phone number is 01223842725.
USER I am also looking for a really pricey Guesthouse.
SYSTEM I'm sorry, I don't know of any expensive guest houses. Can I look for something else for you?
USER Hmm. Do you have any guest houses in the east with free wifi?
SYSTEM Yes, there are a few of them. What price ranger would you like?
USER I'd like a cheap one if that's fine.
SYSTEM I recommend allenbell. It has 4 stars and is in your price range. May I book it for you?
USER May I stay with my pet at the hotel?
SYSTEM ALLENBELL is not pet friendly, sadly Anything else I can help you with?
USER Is there an on-site restaurant?
SYSTEM There is no bar or restaurant at this location. Would you like to book a reservation?
USER Does the Allenbell hotel have parking assistance for the disabled?
SYSTEM Yes, Allenbell provides accessible parking for disabled folks. Do you have any other questions?
USER Yes, that would be great. I'll need it to start on Tuesday and go for 5 nights. It will be 2 people.
SYSTEM I have made your reservation for the Allenbell for 2 people for 5 nights starting on Tuesday. Your reference number is PYY0CNUX. Is there anything else I may assist you with?
USER No thanks. That takes care of all I needed. Goodbye.
USER OVERALL",3.0,Low,Positive,289
7,"USER I am looking for a particular attraction called The Place. I need more information about it.
SYSTEM Sure. It is a nightclub in the south area. Do you need the address or phone number?
USER Just the postcode and entrance fee I am afraid.
SYSTEM 22 sidney street is the address
USER Could you please tell me the postcode?
SYSTEM Of course, sorry about that. The postcode is cb23hg. Can I be of any further assistance to you today?
USER What is the entrance fee for it?
SYSTEM Unfortunately, I am not sure of the entrance fee to The Place. You can call them to find out: 01223324600.
USER Thank you. I will also need a train from Cambridge to London Kings Cross on Tuesday, would you be able to help me?
SYSTEM I need some more information first. Is there a specific time you would like to leave or arrive by?
USER I would like the train to arrive by 16:00.
SYSTEM There are five trains that will arrive by 16:00, the train that arrives closes to that time is TR315 which arrives at 13:51
USER That one will work. Can you book it for 4 people?
SYSTEM I booked your train for 4 people. The reference number is T6X9JMIA and the total fee is 94.4 GBP. Is there anything else I can help you with?
USER Does this train help those with a disability?
SYSTEM Yes, this train provides assistance for those with disability. Anything else I can do for you?
USER Got it. Is there a charge to use WiFi on the train?
SYSTEM Yes, WiFi is available and it is free of charge. Could I help you with anything else?
USER can I stay connected to the internet on this train?
SYSTEM Yes, you can use basic WiFi by connecting to GreatNorthern_WiFi. Is there anything else I can help you with?
USER That will be everything. Thank you for you help.
USER OVERALL",3.67,High,Positive,328
8,"USER Can you help me book some train tickets?
SYSTEM Sure! Where are you departing from and what is your destination?
USER I am leaving from Cambridge.
SYSTEM I'll need to get some more information. Can you tell me your destination and when you will be travelling?
USER I am going to bishops stortford at 12:45 on thursday.
SYSTEM You would like to leave bishops stortford at 12:45?
USER Yes, on Thursday. Can you book me a train for 3 people please?
SYSTEM Okay the TR 2929 leaves at 11:29 and arrives at 12:07. Would you like me to book this?
USER Yes one ticket to hogwarts please?
SYSTEM Ah, sorry, unfortunately there are no trains leaving to Hogwarts after September 1st.
USER I am sorry, poor joke. I am leaving cambridge going to bishops storford, leaving after 12:45 on thursday, need 3 tickets and ref number
SYSTEM Booking was successful, the total fee is 30.29 GBP payable at the station. Reference number is : 2WI5Y9KV. Anything else I can do?
USER Will I be able to use a credit card to pay for my ticket?
SYSTEM Yes, you may use a credit card to pay for the ticket. Anything else I can do for you?
USER Yes I am looking for a place to stay that includes free wifi and is a guesthouse in the expensive price range with free parking as well.
SYSTEM There are no guesthouses that fit your needs. Would you like a hotel? There are several available.
USER How about one that is cheap?
SYSTEM There are several cheap guesthouses in all areas of Cambridge. Do you have an area preference?
USER I am not looking in any specific area. A cheap guesthouse with free wifi and parking would be great. Can you recommend one?
SYSTEM Absolutely! I recommend Autumn House. Would you like a reservation?
USER Does it provide cooking facilities?
SYSTEM As a guest, you'll have access to a kitchen as well as lounge. Does this option meet your needs?
USER Do they have daily housekeeping for guests?
SYSTEM Yes, Autumn House provides housekeeping on a daily basis for guests. Do you have any other questions for me?
USER yes i would like a reservation. thank you.
SYSTEM I can help with that! I just need to know your arrival date, the number of people that will be staying, and how many nights you'd like to stay.
USER Thanks, I need for 3 people for 2 nights. Arrival is on Tuesday.
SYSTEM Sure I have your reservation and the reference number is ZYSDXL09.
USER Thank you for all your help. That is all for now.
USER OVERALL",3.5,Medium,Positive,444
9,"USER I need a three star hotel with internet. Can you help?
SYSTEM I'm sorry, I cannot help you with hotels. Are you sure that's what you're looking for?
USER I'm sorry. I meant to ask for information on a restaurant. It's called the Stazione Restaurant and Coffee Bar.
SYSTEM The stazione restaurant is an expensive, italian restaurant located in the centre area. Would you like me to make you a booking today?
USER Yes, sounds wonderful. Can you book a table for 7 at 12:00 on Saturday?
SYSTEM The booking was successful. Your table will be reserved for 15 minutes and your reference number is TA6XS4CY.
USER Does it have vegetarian options?
SYSTEM Yes, they have both vegan and vegetarian dishes. What else may I help you with?
USER Can i get free wifi here?
SYSTEM The Sazione Restaurant and Coffee Bar doesn't offer free wifi at this time. What are you interested in trying?
USER Great. I also need to find an attraction in the center and would like to know what type, address and entrance fee you find.
SYSTEM Okay what kind of attraction are you looking for?
USER Anything you'd recommend, as long as it's in the centre.
SYSTEM I recommend the vue cinema, it's got a lot of great features to watch!
USER Sounds good! Could I have the address and entrance fee, please?
SYSTEM Address is the grafton centre, east road, I do not know the entrance fee.
USER Thanks! Do you have a phone number so I can find the entrance fee.
SYSTEM The phone number is 08712240240.
USER Can you tell me what credit cards Stazione accepts?
SYSTEM They will accept American Express, Mastercard, and Visa credit cards. Do you have any other questions?
USER Thank you! And this is a cinema attraction?
SYSTEM Yes it is. Is there anything else I can do for you?
USER I don't need anything else.
USER OVERALL",3.33,Medium,Positive,322
10,"USER I need directions to a good swimming pool in the south of Cambridge, can you give them to me?
SYSTEM Abbey pool and astroturf pitch is located in east area. Pool way, white hill road off newmarket road. Would you like any other information?
USER I really need it to be in the south. If there is no swimming pool in the south, how about an entertainment venue?
SYSTEM Unfortunately there are no swimming attractions in the south. Entertainment wise there are 2 options, Nusha and Tenpin. Would you like more info on one of them?
USER Yes please send me the info.
SYSTEM No problem. For Nusha, the phone number is 01223902158 with a post code of cb17dy. For Tenpin, the phone number is 08715501010 with a post code of cb17dy.
USER I also need some help finding a place to eat while there. Can you help me with that?
SYSTEM Yes I can. What type of cuisine are you interested in?
USER I would like a spanish restaurant, preferrably cheap.
SYSTEM I'm sorry there's nothing that matches that in the south. Do you want me to search in a different area?
USER Is there anything matching that anywhere in the city?
SYSTEM None,would you like to try a different area ?
USER Try a different area other than the south. Please make sure it is cheap Spanish food.
SYSTEM There is one! La Raza is a cheap Spanish restaurant in city centre. It's a lovely place - would you like to make a reservation?
USER Do they offer orders to go?
SYSTEM No, they do not offer takeout. Would you like to make a reservation?
USER Yes, please book 4 people on tuesday at 14:30 and send me the reference number
SYSTEM I am sorry, I am unable to book that for you right now. Is there anything else I can help you with?
USER Can you try a booking for 13:30?
SYSTEM I'm sorry, I am unable to book it for that time either. Is there another time, or day I could try for you?
USER Is there another restaurant in that area?
SYSTEM There are no matches for spanish restaurants in that area another perhaps?
USER Look in another area. I want a spanish restaurant
SYSTEM I found la raza. Shall book it for you ?
USER May I pay with Visa at the restaurant?
SYSTEM Yes, Visa is an accepted payment options. What else will you be needing?
USER Yes I would love that one.
SYSTEM I booked your table. The reference number is MN2VXHKR
USER I will also need a taxi booked to get me to the restaurant from the hotel please.
SYSTEM Do you mean from the entertainment attraction to the restaurant at 13:30? Or do you need help with a hotel?
USER Yes I want to be picked up at the attraction and arrive at the restaurant by my reservation time.
SYSTEM I booked you with a white honda taxi service. Their phone number is 07540747460.
USER If plans change, will I be able to cancel my taxi booking later on?
SYSTEM You can cancel 24 hours in advance for free. After that time period, it'll be 10 GBP. Anything else I can do for you?
USER Thank you for your help. That is all I need today.
USER OVERALL",3.0,Low,Positive,559
