conv_id,satisfaction_rating,predicted_label
1,Low,high
2,Low,medium
3,Low,low
4,Medium,medium
5,Medium,medium
6,Low,low
7,High,high
8,Medium,high
9,Medium,medium
10,Low,low
11,Medium,medium
12,Low,high
13,Medium,medium
14,Low,low
15,Medium,high
16,Low,medium
17,Medium,high
18,Low,medium
19,High,medium
20,Low,low
21,Medium,low
22,Medium,medium
23,Low,high
24,Low,high
25,Medium,high
26,Low,medium
27,Medium,medium
28,Low,medium
29,Medium,medium
30,Low,low
31,Low,high
32,High,medium
33,Low,high
34,Medium,medium
35,High,medium
36,Low,high
37,Low,medium
38,Medium,medium
39,Low,low
40,Medium,high
41,Low,medium
42,Medium,high
43,Medium,medium
44,Medium,high
45,Medium,medium
46,High,high
47,Medium,medium
48,Low,high
49,Medium,high
50,Low,medium
51,Medium,medium
52,Medium,medium
53,High,high
54,Medium,high
55,High,medium
56,Medium,low
57,High,medium
58,Medium,medium
59,High,high
60,Medium,high
61,High,high
62,Low,high
63,Low,low
64,Low,medium
65,Medium,low
66,Medium,high
67,Medium,medium
68,Low,medium
69,Medium,low
70,Medium,high
71,Low,low
72,Low,High
73,Low,Medium
74,Medium,Low
75,Medium,High
76,Medium,Medium
77,Low,High
78,High,Medium
79,Medium,Low
80,Low,Medium
81,Low,high
82,Low,high
83,Low,medium
84,Low,medium
85,Low,low
86,Medium,high
87,Low,medium
88,Low,low
89,Medium,medium
90,Low,high
91,Low,high
92,Medium,medium
93,Low,low
94,Low,medium
95,Low,medium
96,High,medium
97,Low,high
98,High,high
99,Low,medium
100,Medium,high
101,Low,low
102,High,medium
103,Medium,high
104,High,high
105,Medium,medium
106,Low,medium
107,High,high
108,Low,high
109,Medium,high
110,Medium,medium
111,Low,low
112,Medium,low
113,Low,medium
114,Medium,high
115,Low,low
116,Medium,medium
117,Medium,high
118,Medium,medium
119,Low,high
120,High,high
121,Medium,medium
122,Low,medium
123,Medium,low
124,Low,medium
125,High,medium
126,Medium,high
127,Low,medium
128,Low,low
129,High,high
130,Medium,medium
131,Low,medium
132,Medium,high
133,Low,medium
134,Medium,low
135,Medium,low
136,Medium,medium
137,High,High
138,Medium,Medium
139,Low,High
140,Low,High
141,High,High
142,Medium,high
143,Low,medium
144,Medium,high
145,Medium,medium
146,Low,medium
147,Medium,medium
148,High,high
149,Medium,medium
150,Medium,high
151,Medium,medium
152,Medium,medium
153,Medium,high
154,Low,medium
155,Low,high
156,Medium,high
157,Low,medium
158,Medium,medium
159,Low,medium
160,Low,medium
161,Medium,high
162,Low,low
163,Medium,medium
164,Low,medium
165,High,high
166,Medium,high
167,High,medium
168,Low,high
169,Low,low
170,High,medium
171,Medium,high
172,Low,medium
173,Medium,medium
174,Low,high
175,Low,low
176,Medium,medium
177,Low,high
178,Low,medium
179,Low,high
180,Medium,high
181,Low,low
182,Medium,medium
183,Medium,high
184,Medium,medium
185,Low,high
186,Low,medium
187,Medium,high
188,Medium,low
189,Medium,high
190,Medium,medium
191,High,high
192,Medium,low
193,High,high
194,Low,medium
195,Medium,high
196,Low,medium
197,High,low
198,Medium,medium
199,Low,high
200,Low,medium
201,Low,high
202,Medium,medium
203,Low,low
204,Medium,high
205,Medium,medium
206,High,high
207,Low,low
208,Low,medium
209,Low,medium
210,High,high
211,Low,medium
212,High,high
213,Medium,high
214,Medium,medium
215,Low,high
216,Low,medium
217,Low,medium
218,Low,high
219,Low,medium
220,Low,high
221,Low,medium
222,Medium,medium
223,Medium,high
224,High,medium
225,Medium,high
226,Low,medium
227,Low,high
228,Low,medium
229,Medium,high
230,Low,high
231,Low,high
232,Medium,medium
233,Low,low
234,Medium,medium
235,Low,high
236,Low,high
237,Low,medium
238,Medium,high
239,Medium,high
240,Medium,high
241,Medium,medium
242,Low,high
243,Medium,high
244,Medium,high
245,Low,low
246,Low,medium
247,Low,medium
248,Low,High
249,Low,Medium
250,Low,Low
251,Low,Medium
252,Medium,high
253,Medium,low
254,High,medium
255,Medium,high
256,Medium,low
257,Medium,medium
258,Low,high
259,Low,low
260,Medium,low
261,Medium,medium
262,Medium,high
263,Medium,high
264,Medium,low
265,Medium,high
266,Medium,low
267,Low,medium
268,Low,medium
269,Medium,low
270,High,low
271,Low,high
272,Low,medium
273,Low,high
274,High,high
275,Medium,medium
276,Low,High
277,High,Medium
278,Low,Low
279,Low,Medium
280,Medium,High
281,Low,Medium
282,Medium,high
283,Medium,medium
284,Medium,high
285,High,high
286,Low,low
287,Low,medium
288,Low,medium
