conv_id,satisfaction_rating,predicted_label
137,High,low
412,Low,low
514,Medium,low
522,Medium,low
627,Medium,low
661,Low,low
679,Medium,low
738,Low,low
741,Low,low
860,Medium,low
77,Low,low
281,Low,low
637,Low,low
762,Low,low
812,Medium,low
884,Medium,low
900,Low,low
939,Medium,low
974,Low,low
102,High,low
175,Low,low
211,Low,low
236,Low,low
320,Medium,low
372,Low,low
528,Medium,low
550,Medium,low
987,Low,low
140,Low,medium
199,Low,high
347,Low,low
371,Medium,low
500,Low,medium
585,Medium,medium
622,Medium,medium
688,Medium,medium
903,Medium,low
948,Medium,low
60,Medium,low
97,Low,low
278,Low,low
300,Low,low
313,Low,low
329,Medium,medium
902,Low,low
925,Medium,medium
975,Medium,medium
24,Low,medium
31,Low,low
262,Medium,medium
440,Low,low
571,Low,low
579,Medium,medium
602,Medium,low
838,Low,medium
880,Low,low
11,Medium,low
55,High,medium
210,High,high
222,Medium,low
297,Low,medium
543,Medium,low
618,Low,low
821,Low,high
71,Low,high
108,Low,high
494,Low,medium
544,Low,medium
591,Low,low
605,Medium,low
663,Low,low
693,Low,low
867,Low,medium
67,Medium,medium
276,Low,high
290,Medium,low
293,Low,low
308,Low,medium
590,Low,medium
680,Low,medium
742,Low,low
68,Low,low
319,Low,low
328,Medium,low
383,Medium,low
549,Low,low
715,Low,low
754,Medium,low
999,Medium,low
89,Medium,low
219,Low,low
437,Medium,low
452,Low,low
523,High,medium
765,Medium,low
788,Low,medium
64,Low,low
257,Medium,medium
352,Medium,low
555,Medium,medium
636,Medium,medium
645,Low,medium
717,Low,medium
827,High,low
937,Low,medium
87,Low,low
169,Low,low
529,Low,low
817,Low,low
824,Low,low
918,Low,low
960,Medium,low
986,Low,low
185,Low,low
295,Low,low
426,Low,medium
433,Low,low
535,Low,high
714,Low,high
893,Low,medium
979,Low,medium
238,Medium,high
261,Medium,low
446,Low,low
560,Low,medium
584,Medium,low
600,High,medium
801,High,medium
868,Medium,low
26,Low,low
56,Medium,low
73,Low,low
121,Medium,low
216,Low,low
266,Medium,low
530,High,low
850,Low,low
996,Low,low
45,Medium,low
245,Low,low
248,Low,low
282,Medium,medium
722,Low,medium
811,Low,high
894,Low,high
915,Low,high
159,Low,low
310,Medium,low
322,Medium,low
430,Low,low
463,Low,low
644,Low,low
823,Low,low
942,Low,low
978,Low,low
299,Medium,low
596,Low,low
650,Low,low
651,Low,low
669,Low,low
698,Low,low
768,Low,low
866,Low,low
885,Low,low
111,Low,medium
255,Medium,medium
311,Medium,medium
315,Medium,low
362,Medium,medium
364,Low,medium
480,Medium,medium
487,Medium,low
690,Low,low
990,Low,medium
260,Medium,low
378,Low,low
495,Medium,medium
527,Medium,medium
671,High,medium
678,Low,low
803,Low,high
846,Medium,high
138,Medium,low
356,Medium,low
366,Low,low
657,Medium,medium
750,High,medium
830,Medium,medium
943,Medium,medium
949,Low,medium
30,Low,low
79,Medium,low
200,Low,low
209,Low,low
214,Medium,low
333,High,low
409,High,low
536,High,low
614,Low,low
696,Low,low
66,Medium,low
166,Medium,low
496,Medium,low
558,High,low
597,Low,low
825,Medium,low
837,Low,low
919,Low,low
142,Medium,high
250,Low,low
332,Low,medium
656,Medium,medium
665,Medium,medium
709,Medium,medium
828,Medium,medium
908,Low,medium
926,Low,low
3,Low,low
50,Low,medium
306,Medium,low
351,Medium,low
545,Low,low
735,Medium,low
897,Low,medium
905,Medium,medium
976,Medium,low
32,High,high
34,Medium,medium
232,Medium,high
345,Low,low
482,Low,low
537,Medium,low
576,Medium,medium
964,Low,medium
995,Low,low
4,Medium,medium
110,Medium,medium
193,High,low
205,Medium,medium
307,High,medium
334,Medium,low
431,Medium,medium
515,High,medium
800,Medium,medium
78,High,low
83,Low,low
85,Low,low
287,Low,low
399,Medium,medium
790,Low,medium
895,Low,medium
992,Medium,high
6,Low,medium
98,High,medium
267,Low,medium
324,Low,low
358,Medium,medium
466,Medium,medium
520,Medium,low
732,Low,medium
917,Medium,medium
923,Low,low
119,Low,medium
381,Medium,medium
382,Medium,medium
491,High,medium
632,Low,low
799,Medium,low
869,Medium,low
901,Low,low
10,Low,low
82,Low,low
197,High,low
251,Low,low
524,Medium,low
588,Medium,low
604,Low,low
784,High,low
212,High,low
228,Low,medium
240,Medium,low
291,Medium,low
360,Medium,medium
450,Medium,medium
718,Medium,medium
798,Low,low
363,Low,low
465,Low,medium
469,Low,low
502,Medium,medium
797,Low,low
936,Medium,medium
947,Medium,low
951,Medium,low
8,Medium,high
156,Medium,medium
