speaker,text,domain-intent,rating 1,rating 2,rating 3,rating 4,rating 5,domain,intent,avg_rating,conv_ID,turn_id,wt_avg_rating,word_count,satisfaction_rating
USER,I'm looking for a cheap restaurant in the east part of town.,Restaurant-Inform,3.0,3.0,3.0,3.0,,Restaurant,Inform,3.0,0,0,3.0,12,Medium
SYSTEM,the missing sock is a nice restaurant in the east part of town in the cheap price range,Restaurant-Inform,,,,,,Restaurant,Inform,,0,1,,18,Medium
USER,What is the address and phone number?,Restaurant-Request,3.0,3.0,3.0,3.0,,Restaurant,Request,3.0,0,2,3.0,7,Medium
SYSTEM,The address of The Missing Sock is Finders Corner Newmarket Road and the phone number is 01223 812660. May I help you with anything else today?,general-reqmore,,,,,,general,reqmore,,0,3,,26,Medium
USER,Does this restaurant have highchairs for babies?,,3.0,3.0,3.0,3.0,,,,3.0,0,4,3.0,7,Medium
SYSTEM,I'm afraid there is no high chair seating available here. You can contact restaurant to see if they will allow you to bring your own.,,,,,,,,,,0,5,,25,Medium
USER,Does this restaurant offer delivery services?,,3.0,3.0,2.0,3.0,,,,2.75,0,6,2.71,6,Low
SYSTEM,"I'm sorry, they do not offer delivery services. Anything else I can do for you?",,,,,,,,,,0,7,,15,Medium
USER,Does The Missing Sock have vegetarian options?,,3.0,3.0,2.0,3.0,,,,2.75,0,8,2.71,7,Low
SYSTEM,No vegetarian options are currently at THE MISSING SOCK. Do you need anything else?,,,,,,,,,,0,9,,14,Medium
USER,"No, thank you, I have everything I need. Thank you and goodbye!",general-thank,3.0,3.0,2.0,3.0,,general,thank,2.75,0,10,2.71,12,Low
SYSTEM,Thank you for using our system. Good bye,general-bye,,,,,,general,bye,,0,11,,8,Medium
USER,Goodbye.,general-bye,3.0,3.0,3.0,3.0,,general,bye,3.0,0,12,3.0,1,Medium
USER,OVERALL,,3.0,3.0,2.0,3.0,,,,2.75,0,13,2.71,1,Low
USER,"Hi, I will be traveling to Cambridge and am excited about seeing local tourist attractions.",Attraction-Inform,3.0,4.0,3.0,,,Attraction,Inform,3.33,1,0,3.33,15,High
SYSTEM,Oh I'm super excited for you! Anything in particular you'd like to check out? How about some architecture?,Attraction-Select,,,,,,Attraction,Select,,1,1,,18,Medium
USER,"Actually, I would prefer a nightclub.",Attraction-Inform,3.0,4.0,3.0,,,Attraction,Inform,3.33,1,2,3.33,6,High
SYSTEM,There are 5 different nightclubs here in Cambridge. Do you have a specific type in mind?,Attraction-Inform,,,,,,Attraction,Inform,,1,3,,16,Medium
