conv_id,satisfaction_rating,predicted_label
137,High,medium
412,Low,medium
514,Medium,low
627,Medium,medium
661,Low,low
679,Medium,medium
738,Low,low
741,Low,low
860,Medium,medium
77,Low,low
281,Low,low
637,Low,medium
762,Low,medium
812,Medium,high
884,Medium,high
900,Low,low
939,Medium,medium
974,Low,high
102,High,low
175,Low,low
211,Low,low
236,Low,low
320,Medium,low
372,Low,low
528,Medium,low
550,Medium,low
987,Low,low
140,Low,medium
199,Low,high
347,Low,low
371,Medium,low
500,Low,medium
585,Medium,medium
622,Medium,medium
688,Medium,medium
903,Medium,low
948,Medium,low
60,Medium,low
97,Low,low
278,Low,low
300,Low,low
313,Low,low
329,Medium,high
902,Low,low
925,Medium,low
975,Medium,medium
24,Low,high
262,Medium,medium
440,Low,low
571,Low,medium
579,Medium,high
602,Medium,low
838,Low,high
880,Low,low
11,Medium,medium
31,Low,low
222,Medium,low
297,Low,medium
618,Low,low
821,Low,high
71,Low,low
108,Low,low
210,High,low
544,Low,medium
605,Medium,low
693,Low,low
867,Low,medium
308,Low,medium
590,Low,low
680,Low,high
219,Low,low
328,Medium,low
383,Medium,low
437,Medium,low
452,Low,medium
523,High,medium
788,Low,medium
89,Medium,low
257,Medium,medium
352,Medium,low
717,Low,medium
827,High,low
937,Low,low
169,Low,low
529,Low,low
555,Medium,low
636,Medium,low
645,Low,medium
824,Low,medium
918,Low,low
960,Medium,low
87,Low,low
185,Low,medium
295,Low,low
433,Low,medium
535,Low,medium
817,Low,low
979,Low,high
986,Low,low
261,Medium,medium
426,Low,low
446,Low,low
560,Low,medium
584,Medium,medium
714,Low,high
266,Medium,medium
530,High,low
600,High,medium
801,High,low
850,Low,low
996,Low,low
1,Low,Conversation 978: low
2,Low,Conversation 430: low
3,Low,Conversation 942: medium
4,Medium,Conversation 463: low
5,Medium,Conversation 310: medium
6,Low,Conversation 698: medium
7,High,Conversation 61: medium
299,Medium,low
315,Medium,medium
596,Low,low
650,Low,medium
651,Low,medium
669,Low,high
690,Low,low
768,Low,low
866,Low,medium
885,Low,high
111,Low,low
255,Medium,medium
260,Medium,low
311,Medium,low
362,Medium,low
364,Low,low
480,Medium,medium
487,Medium,low
803,Low,medium
990,Low,low
138,Medium,low
378,Low,low
495,Medium,low
527,Medium,medium
671,High,medium
846,Medium,medium
200,Low,low
356,Medium,low
366,Low,low
657,Medium,medium
750,High,high
830,Medium,high
943,Medium,high
949,Low,high
30,Low,low
79,Medium,low
209,Low,low
333,High,medium
409,High,low
536,High,medium
558,High,low
614,Low,low
696,Low,medium
66,Medium,medium
142,Medium,medium
166,Medium,high
496,Medium,low
597,Low,medium
825,Medium,high
837,Low,low
919,Low,low
250,Low,low
332,Low,medium
656,Medium,medium
665,Medium,medium
709,Medium,low
828,Medium,low
908,Low,low
3,Low,low
50,Low,medium
351,Medium,low
545,Low,low
735,Medium,low
897,Low,high
905,Medium,medium
976,Medium,low
32,High,medium
34,Medium,low
232,Medium,medium
345,Low,low
482,Low,low
537,Medium,low
576,Medium,medium
964,Low,low
995,Low,low
4,Medium,low
110,Medium,medium
205,Medium,medium
307,High,medium
334,Medium,low
515,High,low
800,Medium,medium
6,Low,high
98,High,high
267,Low,medium
324,Low,low
399,Medium,low
466,Medium,medium
520,Medium,medium
732,Low,medium
917,Medium,medium
923,Low,low
119,Low,high
381,Medium,low
382,Medium,medium
491,High,medium
632,Low,low
799,Medium,medium
869,Medium,high
10,Low,low
82,Low,medium
197,High,medium
251,Low,medium
524,Medium,low
604,Low,low
901,Low,low
1,Low,Conversation 784: high
2,Low,Conversation 588: low
3,Low,Conversation 798: high
4,Medium,Conversation 240: medium
5,Medium,Conversation 291: medium
6,Low,Conversation 212: high
7,High,Conversation 718: medium
8,Medium,Conversation 360: high
228,Low,medium
363,Low,low
450,Medium,low
465,Low,medium
502,Medium,high
797,Low,medium
947,Medium,low
951,Medium,high
