conv_id,satisfaction_rating,predicted_label
137,High,high
412,Low,medium
514,Medium,low
522,Medium,high
627,Medium,medium
661,Low,medium
679,Medium,high
738,Low,low
741,Low,medium
812,Medium,high
860,Medium,medium
1,Low,low
2,Low,low
3,Low,low
4,Medium,low
5,Medium,low
6,Low,low
7,High,low
8,Medium,low
9,Medium,low
10,Low,low
1,Low,high
2,Low,medium
3,Low,low
4,Medium,high
5,Medium,high
6,Low,high
7,High,low
8,Medium,high
9,Medium,high
1,Low,high
2,Low,low
3,Low,high
4,Medium,high
5,Medium,high
6,Low,high
7,High,high
8,Medium,high
9,Medium,high
10,Low,high
1,Low,high
2,Low,medium
3,Low,low
4,Medium,high
5,Medium,low
6,Low,low
7,High,high
8,Medium,low
9,Medium,medium
1,Low,high
2,Low,medium
3,Low,low
4,Medium,low
5,Medium,high
6,Low,medium
7,High,high
8,Medium,medium
71,Low,high
108,Low,medium
494,Low,medium
544,Low,low
591,Low,low
663,Low,medium
693,Low,low
742,Low,low
867,Low,medium
1,Low,high
2,Low,medium
3,Low,high
4,Medium,high
5,Medium,high
6,Low,high
7,High,high
8,Medium,high
9,Medium,high
10,Low,high
549,Low,"""USER one in the east of town"
1,Low,high
2,Low,medium
3,Low,low
4,Medium,low
5,Medium,high
6,Low,high
7,High,low
1,Low,high
2,Low,high
3,Low,low
4,Medium,low
5,Medium,low
6,Low,low
7,High,low
8,Medium,low
1,Low,high
2,Low,medium
3,Low,low
4,Medium,high
5,Medium,low
6,Low,low
238,Medium,high
261,Medium,medium
446,Low,low
560,Low,medium
584,Medium,low
600,High,medium
714,Low,high
801,High,medium
868,Medium,low
1,Low,high
2,Low,medium
3,Low,low
4,Medium,high
5,Medium,medium
6,Low,low
7,High,high
1,Low,high
2,Low,high
3,Low,high
4,Medium,high
5,Medium,high
6,Low,low
7,High,high
1,Low,high
2,Low,high
3,Low,medium
4,Medium,medium
5,Medium,medium
6,Low,high
7,High,medium
1,Low,high
2,Low,medium
3,Low,medium
4,Medium,medium
5,Medium,medium
6,Low,low
7,High,low
8,Medium,low
9,Medium,low
10,Low,low
111,Low,low
255,Medium,low
260,Medium,low
364,Low,medium
378,Low,low
487,Medium,low
495,Medium,low
671,High,low
678,Low,low
803,Low,medium
990,Low,low
1,Low,high
2,Low,medium
3,Low,low
4,Medium,medium
5,Medium,high
6,Low,high
7,High,low
8,Medium,high
657,Medium,"""USER I am planning a trip in Cambridge, looking for a train"
1,Low,high
2,Low,low
3,Low,medium
4,Medium,low
5,Medium,medium
6,Low,high
1,Low,high
2,Low,high
3,Low,medium
4,Medium,medium
5,Medium,low
6,Low,low
7,High,low
8,Medium,low
9,Medium,low
1,Low,low
2,Low,low
3,Low,high
4,Medium,low
5,Medium,high
6,Low,high
7,High,low
8,Medium,high
1,Low,low
2,Low,low
3,Low,high
4,Medium,medium
5,Medium,high
6,Low,high
7,High,low
8,Medium,medium
1,Low,high
2,Low,low
3,Low,medium
4,Medium,medium
5,Medium,low
6,Low,low
7,High,low
6,Low,high
98,High,high
324,Low,low
399,Medium,medium
466,Medium,medium
520,Medium,medium
732,Low,medium
790,Low,high
895,Low,low
917,Medium,low
923,Low,low
119,Low,medium
267,Low,high
358,Medium,medium
381,Medium,medium
382,Medium,medium
491,High,high
632,Low,low
799,Medium,high
869,Medium,low
1,Low,high
2,Low,medium
3,Low,medium
4,Medium,low
5,Medium,medium
6,Low,low
7,High,medium
1,Low,high
2,Low,high
3,Low,high
4,Medium,high
5,Medium,high
6,Low,high
7,High,high
8,Medium,high
9,Medium,high
947,Medium,"""USER I am looking for information in Cambridge"
