conv_id,satisfaction_rating,predicted_label
137,High,low
412,Low,low
514,Medium,low
522,Medium,low
627,Medium,low
661,Low,low
679,Medium,low
738,Low,low
741,Low,low
812,Medium,low
860,Medium,low
77,Low,low
281,Low,medium
320,Medium,high
550,Medium,medium
637,Low,low
762,Low,high
884,Medium,high
900,Low,medium
939,Medium,high
974,Low,medium
102,High,medium
175,Low,low
211,Low,medium
236,Low,high
347,Low,medium
372,Low,high
528,Medium,medium
903,Medium,high
948,Medium,high
987,Low,high
60,Medium,high
140,Low,low
199,Low,high
329,Medium,medium
371,Medium,low
500,Low,low
585,Medium,high
622,Medium,medium
688,Medium,medium
902,Low,medium
278,Low,low
300,Low,low
313,Low,low
440,Low,low
571,Low,low
602,Medium,low
838,Low,low
925,Medium,low
975,Medium,low
11,Medium,medium
24,Low,medium
31,Low,medium
222,Medium,medium
262,Medium,medium
579,Medium,low
618,Low,low
821,Low,medium
880,Low,low
55,High,low
71,Low,low
210,High,medium
297,Low,low
543,Medium,low
605,Medium,low
663,Low,low
693,Low,low
867,Low,medium
40,Medium,high
108,Low,high
290,Medium,low
293,Low,medium
308,Low,medium
494,Low,medium
544,Low,low
590,Low,medium
591,Low,low
653,Medium,medium
742,Low,medium
67,Medium,medium
68,Low,medium
276,Low,high
319,Low,medium
549,Low,low
680,Low,low
715,Low,medium
754,Medium,low
999,Medium,low
219,Low,medium
328,Medium,low
383,Medium,medium
437,Medium,low
452,Low,low
523,High,medium
765,Medium,low
788,Low,medium
64,Low,low
257,Medium,medium
352,Medium,medium
636,Medium,medium
717,Low,medium
827,High,low
937,Low,medium
87,Low,low
169,Low,low
529,Low,low
555,Medium,low
817,Low,low
824,Low,low
918,Low,low
960,Medium,low
986,Low,low
185,Low,medium
261,Medium,medium
295,Low,low
426,Low,medium
433,Low,low
535,Low,medium
714,Low,high
893,Low,high
979,Low,high
238,Medium,low
446,Low,low
560,Low,medium
584,Medium,low
600,High,low
801,High,medium
850,Low,low
868,Medium,low
26,Low,medium
45,Medium,medium
56,Medium,low
73,Low,medium
121,Medium,low
216,Low,low
248,Low,medium
530,High,low
996,Low,low
245,Low,low
282,Medium,medium
322,Medium,low
644,Low,medium
722,Low,low
811,Low,medium
823,Low,medium
894,Low,low
915,Low,medium
61,High,medium
159,Low,low
310,Medium,medium
430,Low,medium
463,Low,medium
698,Low,medium
942,Low,medium
978,Low,low
299,Medium,medium
311,Medium,low
315,Medium,low
596,Low,low
650,Low,low
651,Low,low
669,Low,medium
690,Low,low
768,Low,low
866,Low,medium
885,Low,low
111,Low,medium
255,Medium,medium
260,Medium,low
362,Medium,low
364,Low,medium
480,Medium,medium
487,Medium,low
678,Low,medium
803,Low,medium
990,Low,low
138,Medium,low
356,Medium,low
366,Low,low
378,Low,low
495,Medium,low
527,Medium,low
671,High,low
846,Medium,low
943,Medium,low
200,Low,low
209,Low,low
214,Medium,high
333,High,low
409,High,medium
614,Low,medium
657,Medium,medium
750,High,low
830,Medium,high
949,Low,medium
30,Low,low
166,Medium,medium
536,High,medium
597,Low,medium
696,Low,medium
837,Low,medium
919,Low,low
66,Medium,medium
142,Medium,medium
332,Low,medium
496,Medium,low
656,Medium,medium
665,Medium,medium
825,Medium,medium
828,Medium,high
926,Low,low
3,Low,low
50,Low,low
250,Low,low
306,Medium,low
545,Low,low
709,Medium,low
735,Medium,low
897,Low,low
908,Low,low
976,Medium,low
32,High,high
34,Medium,medium
232,Medium,medium
345,Low,low
351,Medium,low
482,Low,low
537,Medium,low
576,Medium,medium
905,Medium,medium
995,Low,medium
4,Medium,high
110,Medium,high
193,High,high
205,Medium,medium
307,High,medium
334,Medium,medium
515,High,medium
800,Medium,high
964,Low,low
78,High,high
83,Low,low
85,Low,medium
287,Low,medium
431,Medium,low
790,Low,medium
895,Low,medium
992,Medium,high
6,Low,high
98,High,high
267,Low,medium
324,Low,low
358,Medium,medium
399,Medium,low
466,Medium,medium
520,Medium,medium
732,Low,medium
917,Medium,medium
923,Low,low
119,Low,low
381,Medium,medium
382,Medium,medium
491,High,medium
632,Low,low
799,Medium,medium
869,Medium,low
901,Low,low
10,Low,high
82,Low,medium
197,High,medium
524,Medium,medium
588,Medium,medium
604,Low,low
784,High,high
798,Low,high
212,High,medium
228,Low,high
240,Medium,low
291,Medium,medium
360,Medium,medium
450,Medium,low
718,Medium,high
947,Medium,medium
951,Medium,high
8,Medium,medium
363,Low,low
429,Medium,medium
465,Low,medium
469,Low,low
502,Medium,low
936,Medium,medium
