conv_id,satisfaction_rating,predicted_label
412,Low,medium
514,Medium,low
522,Medium,low
627,Medium,medium
661,Low,low
679,Medium,medium
738,Low,low
741,Low,low
860,Medium,medium
281,Low,medium
637,Low,low
812,Medium,low
900,Low,low
937,Low,low
939,Medium,medium
175,Low,low
211,Low,low
236,Low,high
320,Medium,high
372,Low,high
528,Medium,high
550,Medium,high
762,Low,low
884,Medium,low
140,Low,medium
347,Low,low
371,Medium,medium
500,Low,medium
622,Medium,high
903,Medium,medium
948,Medium,medium
987,Low,low
60,Medium,high
97,Low,low
199,Low,low
313,Low,medium
329,Medium,medium
585,Medium,low
688,Medium,low
902,Low,medium
278,Low,low
300,Low,low
440,Low,low
571,Low,low
602,Medium,low
838,Low,high
880,Low,low
925,Medium,low
975,Medium,low
11,Medium,high
24,Low,low
31,Low,medium
222,Medium,low
579,Medium,low
618,Low,low
821,Low,high
55,High,low
210,High,high
297,Low,low
543,Medium,low
605,Medium,low
663,Low,high
693,Low,low
867,Low,high
40,Medium,low
71,Low,low
108,Low,low
290,Medium,low
293,Low,low
494,Low,low
544,Low,low
591,Low,low
653,Medium,low
742,Low,low
67,Medium,high
68,Low,high
276,Low,medium
308,Low,low
319,Low,high
549,Low,high
590,Low,low
680,Low,high
999,Medium,low
219,Low,low
328,Medium,low
383,Medium,low
452,Low,low
523,High,low
715,Low,low
754,Medium,low
1,Low,Conversation 788: low
2,Low,Conversation 437: medium
3,Low,Conversation 765: low
4,Medium,Conversation 89: low
5,Medium,Conversation 64: low
6,Low,Conversation 827: medium
7,High,Conversation 717: medium
169,Low,low
257,Medium,low
555,Medium,medium
636,Medium,high
645,Low,high
937,Low,low
960,Medium,medium
87,Low,low
185,Low,high
433,Low,high
529,Low,low
817,Low,high
824,Low,high
918,Low,low
986,Low,high
261,Medium,medium
295,Low,low
426,Low,medium
535,Low,low
714,Low,high
893,Low,medium
979,Low,low
238,Medium,low
446,Low,medium
560,Low,high
584,Medium,low
600,High,high
801,High,medium
868,Medium,low
26,Low,medium
56,Medium,medium
121,Medium,medium
216,Low,medium
266,Medium,low
530,High,low
850,Low,low
996,Low,low
45,Medium,low
248,Low,low
282,Medium,high
722,Low,medium
811,Low,high
894,Low,high
915,Low,high
159,Low,medium
245,Low,low
322,Medium,high
430,Low,high
644,Low,medium
823,Low,low
942,Low,medium
978,Low,medium
61,High,low
310,Medium,low
596,Low,low
650,Low,medium
698,Low,medium
768,Low,medium
885,Low,medium
299,Medium,medium
311,Medium,low
315,Medium,medium
362,Medium,medium
480,Medium,medium
651,Low,low
669,Low,medium
690,Low,low
866,Low,low
111,Low,high
255,Medium,high
260,Medium,low
364,Low,medium
487,Medium,low
495,Medium,medium
678,Low,low
803,Low,medium
990,Low,low
138,Medium,low
356,Medium,medium
366,Low,high
378,Low,low
527,Medium,high
671,High,low
846,Medium,medium
943,Medium,high
200,Low,low
209,Low,medium
214,Medium,medium
333,High,low
409,High,high
657,Medium,high
750,High,low
830,Medium,high
949,Low,medium
30,Low,low
79,Medium,low
536,High,medium
558,High,low
597,Low,medium
696,Low,low
837,Low,medium
66,Medium,medium
142,Medium,medium
166,Medium,low
496,Medium,low
825,Medium,high
828,Medium,medium
919,Low,medium
926,Low,low
1,Low,Low
2,Low,Low
3,Low,High
4,Medium,Low
5,Medium,Low
6,Low,Medium
3,Low,low
50,Low,low
345,Low,medium
351,Medium,low
537,Medium,low
545,Low,low
897,Low,medium
905,Medium,medium
976,Medium,low
32,High,low
34,Medium,low
193,High,high
232,Medium,high
334,Medium,medium
482,Low,low
576,Medium,medium
964,Low,medium
995,Low,low
78,High,medium
110,Medium,medium
205,Medium,low
307,High,low
431,Medium,medium
515,High,medium
800,Medium,high
287,Low,low
324,Low,low
399,Medium,medium
790,Low,low
895,Low,medium
6,Low,low
98,High,high
267,Low,high
358,Medium,high
466,Medium,medium
520,Medium,low
732,Low,medium
869,Medium,medium
917,Medium,low
923,Low,low
119,Low,medium
381,Medium,low
382,Medium,high
491,High,high
632,Low,low
799,Medium,low
901,Low,low
10,Low,low
82,Low,medium
197,High,medium
251,Low,low
524,Medium,low
588,Medium,medium
604,Low,low
784,High,high
1,Low,low
2,Low,low
3,Low,medium
4,Medium,high
5,Medium,high
6,Low,high
363,Low,low
465,Low,medium
469,Low,low
502,Medium,high
797,Low,low
947,Medium,low
951,Medium,low
8,Medium,high
429,Medium,low
936,Medium,low
