conv_id,satisfaction_rating,predicted_label
137,High,medium
412,Low,medium
514,Medium,low
522,Medium,low
627,Medium,medium
661,Low,low
679,Medium,medium
738,Low,low
741,Low,low
860,Medium,medium
77,Low,low
281,Low,medium
637,Low,medium
762,Low,high
812,Medium,high
884,Medium,high
900,Low,low
939,Medium,high
974,Low,medium
102,High,high
175,Low,medium
211,Low,low
236,Low,high
320,Medium,high
372,Low,medium
528,Medium,medium
550,Medium,low
987,Low,high
140,Low,high
199,Low,high
347,Low,low
371,Medium,medium
500,Low,medium
585,Medium,high
622,Medium,medium
688,Medium,medium
903,Medium,high
948,Medium,low
60,Medium,low
97,Low,low
278,Low,medium
300,Low,low
313,Low,medium
329,Medium,medium
902,Low,high
925,Medium,medium
975,Medium,medium
24,Low,high
262,Medium,medium
440,Low,low
571,Low,medium
579,Medium,high
602,Medium,low
838,Low,high
880,Low,low
11,Medium,medium
31,Low,low
55,High,medium
222,Medium,low
297,Low,medium
543,Medium,low
618,Low,low
821,Low,high
71,Low,low
108,Low,low
210,High,low
494,Low,low
544,Low,low
605,Medium,low
663,Low,low
693,Low,low
867,Low,low
40,Medium,high
67,Medium,medium
290,Medium,low
293,Low,low
308,Low,high
590,Low,medium
591,Low,low
653,Medium,medium
680,Low,medium
742,Low,low
68,Low,low
276,Low,high
319,Low,medium
328,Medium,medium
549,Low,medium
715,Low,medium
754,Medium,low
999,Medium,low
219,Low,low
383,Medium,low
437,Medium,low
452,Low,low
523,High,medium
765,Medium,low
788,Low,medium
64,Low,high
257,Medium,medium
352,Medium,low
636,Medium,high
717,Low,medium
827,High,medium
937,Low,low
169,Low,medium
529,Low,medium
555,Medium,low
645,Low,low
817,Low,medium
824,Low,high
918,Low,low
960,Medium,medium
986,Low,high
7,High,low
8,Medium,low
9,Medium,low
10,Low,low
11,Medium,low
12,Low,low
238,Medium,high
261,Medium,low
446,Low,low
560,Low,medium
584,Medium,medium
714,Low,low
801,High,medium
868,Medium,low
56,Medium,medium
121,Medium,medium
216,Low,medium
530,High,low
600,High,low
850,Low,low
996,Low,low
26,Low,high
45,Medium,medium
73,Low,low
248,Low,medium
282,Medium,medium
722,Low,high
894,Low,medium
915,Low,high
159,Low,low
245,Low,low
322,Medium,medium
430,Low,low
644,Low,medium
823,Low,high
978,Low,medium
61,High,medium
310,Medium,medium
463,Low,low
596,Low,low
698,Low,medium
768,Low,medium
885,Low,low
942,Low,low
299,Medium,low
311,Medium,low
315,Medium,low
362,Medium,low
480,Medium,medium
650,Low,low
651,Low,low
669,Low,medium
690,Low,low
866,Low,medium
111,Low,high
255,Medium,high
260,Medium,low
364,Low,medium
487,Medium,low
495,Medium,medium
678,Low,low
803,Low,medium
990,Low,low
138,Medium,low
356,Medium,medium
366,Low,high
378,Low,low
527,Medium,high
671,High,high
846,Medium,medium
943,Medium,high
200,Low,low
209,Low,low
214,Medium,medium
333,High,low
409,High,medium
657,Medium,medium
750,High,low
830,Medium,high
949,Low,medium
30,Low,low
79,Medium,low
166,Medium,medium
558,High,low
597,Low,medium
614,Low,low
696,Low,medium
837,Low,low
66,Medium,medium
142,Medium,medium
332,Low,medium
496,Medium,low
656,Medium,medium
825,Medium,medium
919,Low,high
926,Low,high
50,Low,low
250,Low,low
306,Medium,low
665,Medium,low
709,Medium,low
735,Medium,low
908,Low,low
976,Medium,low
3,Low,low
345,Low,medium
351,Medium,medium
482,Low,low
537,Medium,low
545,Low,low
897,Low,high
905,Medium,medium
995,Low,low
4,Medium,low
32,High,low
34,Medium,low
193,High,high
205,Medium,medium
232,Medium,high
334,Medium,medium
576,Medium,high
964,Low,medium
78,High,low
85,Low,low
110,Medium,low
287,Low,low
307,High,low
431,Medium,low
515,High,low
800,Medium,low
1,Low,9 (low)
2,Low,7 (low)
3,Low,8 (low)
4,Medium,6 (low)
5,Medium,3 (low)
6,Low,9 (low)
7,High,8 (low)
8,Medium,7 (low)
9,Medium,8 (low)
6,Low,high
98,High,medium
267,Low,medium
358,Medium,high
381,Medium,high
466,Medium,medium
732,Low,low
869,Medium,medium
119,Low,medium
251,Low,medium
382,Medium,low
491,High,medium
524,Medium,medium
632,Low,low
901,Low,low
82,Low,medium
197,High,low
240,Medium,medium
588,Medium,medium
604,Low,low
784,High,high
798,Low,high
212,High,low
228,Low,high
291,Medium,high
360,Medium,medium
450,Medium,low
718,Medium,medium
947,Medium,medium
951,Medium,medium
363,Low,low
429,Medium,medium
465,Low,medium
469,Low,low
502,Medium,high
936,Medium,high
