conv_id,satisfaction_rating,predicted_label
412,Low,high
522,Medium,high
627,Medium,medium
661,Low,low
679,Medium,medium
738,Low,low
741,Low,medium
77,Low,high
137,High,medium
514,Medium,low
637,Low,high
812,Medium,medium
860,Medium,high
281,Low,high
762,Low,medium
884,Medium,high
900,Low,medium
939,Medium,medium
974,Low,medium
175,Low,high
211,Low,low
236,Low,high
320,Medium,medium
372,Low,high
528,Medium,medium
550,Medium,high
102,High,high
140,Low,medium
347,Low,low
903,Medium,high
948,Medium,medium
987,Low,high
199,Low,high
371,Medium,medium
500,Low,high
585,Medium,high
622,Medium,medium
688,Medium,high
902,Low,medium
60,Medium,high
97,Low,medium
278,Low,medium
300,Low,low
313,Low,medium
329,Medium,high
975,Medium,high
440,Low,low
571,Low,medium
602,Medium,low
838,Low,high
880,Low,medium
925,Medium,low
24,Low,high
31,Low,medium
262,Medium,low
579,Medium,medium
618,Low,low
11,Medium,3. high
55,High,2. medium
222,Medium,1. low
297,Low,2. medium
543,Medium,1. low
821,Low,3. high
210,High,high
605,Medium,medium
663,Low,low
693,Low,low
867,Low,high
71,Low,high
108,Low,medium
494,Low,medium
544,Low,low
591,Low,low
742,Low,medium
40,Medium,high
290,Medium,low
293,Low,medium
308,Low,high
590,Low,medium
653,Medium,high
680,Low,high
67,Medium,high
68,Low,high
276,Low,high
319,Low,high
549,Low,high
999,Medium,medium
328,Medium,high
383,Medium,medium
452,Low,medium
715,Low,low
754,Medium,high
219,Low,high
437,Medium,medium
523,High,high
765,Medium,medium
788,Low,medium
64,Low,high
89,Medium,medium
352,Medium,low
717,Low,medium
827,High,high
257,Medium,high
555,Medium,medium
636,Medium,medium
937,Low,low
960,Medium,medium
529,Low,high
824,Low,medium
918,Low,low
986,Low,high
185,Low,high
433,Low,medium
817,Low,medium
979,Low,low
295,Low,low
426,Low,medium
535,Low,medium
714,Low,low
893,Low,high
238,Medium,High
261,Medium,Medium
446,Low,Low
560,Low,Medium
584,Medium,High
600,High,high
801,High,medium
850,Low,low
868,Medium,low
121,Medium,3. high
216,Low,2. medium
266,Medium,1. low
530,High,1. low
996,Low,2. medium
26,Low,high
45,Medium,low
73,Low,medium
248,Low,medium
282,Medium,medium
722,Low,high
245,Low,low
811,Low,high
823,Low,medium
894,Low,high
915,Low,high
322,Medium,high
430,Low,medium
644,Low,medium
942,Low,low
978,Low,low
310,Medium,high
463,Low,medium
698,Low,medium
885,Low,low
299,Medium,high
596,Low,low
650,Low,medium
651,Low,high
669,Low,medium
768,Low,low
866,Low,high
311,Medium,high
315,Medium,medium
362,Medium,high
480,Medium,high
690,Low,medium
255,Medium,low
260,Medium,low
364,Low,medium
487,Medium,low
803,Low,high
378,Low,low
495,Medium,medium
527,Medium,high
671,High,medium
678,Low,low
138,Medium,high
356,Medium,medium
366,Low,medium
846,Medium,high
943,Medium,high
200,Low,low
657,Medium,high
750,High,medium
830,Medium,high
949,Low,high
30,Low,high
79,Medium,medium
209,Low,low
214,Medium,high
333,High,medium
409,High,high
614,Low,medium
536,High,high
558,High,medium
597,Low,medium
696,Low,medium
837,Low,low
1,Low,low
2,Low,medium
3,Low,low
4,Medium,high
142,Medium,high
332,Low,medium
656,Medium,medium
828,Medium,high
926,Low,low
250,Low,low
306,Medium,medium
665,Medium,high
709,Medium,low
908,Low,medium
50,Low,low
545,Low,medium
735,Medium,low
897,Low,high
976,Medium,medium
345,Low,high
351,Medium,medium
482,Low,low
537,Medium,medium
905,Medium,medium
995,Low,high
32,High,high
34,Medium,medium
193,High,high
232,Medium,high
576,Medium,medium
964,Low,medium
205,Medium,high
334,Medium,high
515,High,medium
800,Medium,medium
78,High,high
85,Low,medium
110,Medium,medium
287,Low,low
307,High,medium
431,Medium,high
399,Medium,high
790,Low,medium
895,Low,low
992,Medium,high
98,High,high
324,Low,high
466,Medium,low
520,Medium,medium
732,Low,medium
917,Medium,medium
923,Low,low
267,Low,high
358,Medium,medium
381,Medium,low
632,Low,low
799,Medium,high
869,Medium,medium
119,Low,8. high
382,Medium,8. high
491,High,8. high
901,Low,5. medium
10,Low,high
197,High,medium
251,Low,medium
524,Medium,medium
604,Low,low
240,Medium,high
291,Medium,medium
588,Medium,medium
784,High,high
798,Low,high
