conv_id,satisfaction_rating,predicted_label
412,Low,High
522,Medium,High
661,Low,Low
679,Medium,Medium
738,Low,Medium
741,Low,Medium
514,Medium,Medium
627,Medium,High
812,Medium,High
860,Medium,Medium
637,Low,Low
939,Medium,Medium
974,Low,High
281,Low,Medium
320,Medium,Medium
550,Medium,High
762,Low,High
884,Medium,Medium
900,Low,Low
175,Low,Low
211,Low,Medium
236,Low,High
372,Low,High
528,Medium,Medium
347,Low,Medium
903,Medium,Medium
948,Medium,Low
987,Low,High
140,Low,Low
199,Low,Medium
371,Medium,Medium
500,Low,High
622,Medium,Medium
688,Medium,Medium
60,Medium,Low
97,Low,Medium
329,Medium,High
585,Medium,High
902,Low,Medium
278,Low,Low
300,Low,Medium
313,Low,Low
925,Medium,Low
975,Medium,Medium
440,Low,Medium
571,Low,Medium
602,Medium,Low
838,Low,High
880,Low,Medium
24,Low,Medium
31,Low,Medium
262,Medium,Low
579,Medium,Medium
11,Medium,High
222,Medium,Medium
618,Low,Low
821,Low,High
210,High,Medium
297,Low,High
543,Medium,Low
605,Medium,Medium
544,Low,Medium
663,Low,High
693,Low,Low
867,Low,Medium
108,Low,High
290,Medium,Low
293,Low,Medium
494,Low,Medium
591,Low,Medium
742,Low,Medium
40,Medium,"""USER i need a hotel in the north"
276,Low,Medium
319,Low,High
549,Low,Medium
999,Medium,Low
328,Medium,Low
383,Medium,Medium
715,Low,Medium
754,Medium,High
219,Low,High
452,Low,Medium
523,High,High
788,Low,Medium
64,Low,high
89,Medium,medium
437,Medium,low
765,Medium,medium
352,Medium,"""USER Hi, I am planning my Cambridge trip and could use some help with a particular attraction."
555,Medium,low
636,Medium,medium
645,Low,high
960,Medium,medium
529,Low,Medium
817,Low,High
824,Low,High
918,Low,Low
986,Low,Medium
87,Low,High
185,Low,Medium
433,Low,Medium
979,Low,Low
