conv_id,satisfaction_rating,predicted_label
137,High,medium
412,Low,medium
514,Medium,low
522,Medium,high
627,Medium,medium
661,Low,low
679,Medium,high
738,Low,low
741,Low,medium
812,Medium,high
860,Medium,medium
175,Low,medium
281,Low,medium
320,Medium,medium
550,Medium,high
637,Low,high
762,Low,high
884,Medium,high
900,Low,high
939,Medium,high
974,Low,high
102,High,medium
140,Low,medium
211,Low,low
236,Low,high
347,Low,low
372,Low,high
528,Medium,medium
622,Medium,medium
903,Medium,high
948,Medium,medium
987,Low,high
60,Medium,high
97,Low,medium
199,Low,high
313,Low,high
329,Medium,high
371,Medium,low
500,Low,high
585,Medium,high
688,Medium,high
902,Low,medium
262,Medium,medium
278,Low,low
300,Low,medium
440,Low,low
571,Low,low
579,Medium,high
602,Medium,low
838,Low,medium
880,Low,low
925,Medium,medium
975,Medium,high
1,Low,High
2,Low,Medium
3,Low,Low
4,Medium,Low
5,Medium,High
6,Low,Medium
7,High,Low
8,Medium,High
9,Medium,Medium
71,Low,high
108,Low,medium
494,Low,medium
544,Low,medium
591,Low,low
605,Medium,high
663,Low,medium
693,Low,low
742,Low,medium
867,Low,high
1,Low,high
2,Low,high
3,Low,high
4,Medium,medium
5,Medium,high
6,Low,high
7,High,medium
8,Medium,high
9,Medium,high
10,Low,high
219,Low,medium
328,Medium,medium
383,Medium,medium
452,Low,medium
523,High,high
549,Low,high
715,Low,medium
754,Medium,high
999,Medium,medium
64,Low,medium
89,Medium,low
352,Medium,low
437,Medium,medium
717,Low,high
765,Medium,low
788,Low,high
827,High,medium
937,Low,low
169,Low,medium
529,Low,medium
555,Medium,medium
636,Medium,high
645,Low,high
824,Low,high
918,Low,low
960,Medium,low
986,Low,high
1,Low,high
2,Low,medium
3,Low,low
4,Medium,high
5,Medium,low
238,Medium,high
261,Medium,medium
446,Low,low
560,Low,medium
584,Medium,low
600,High,medium
714,Low,high
801,High,medium
868,Medium,low
26,Low,high
45,Medium,medium
56,Medium,high
73,Low,low
121,Medium,medium
216,Low,medium
266,Medium,low
530,High,medium
850,Low,high
996,Low,low
1,Low,low
2,Low,high
3,Low,high
4,Medium,high
5,Medium,low
6,Low,low
7,High,high
1,Low,high
2,Low,high
3,Low,medium
4,Medium,medium
5,Medium,medium
6,Low,high
299,Medium,medium
311,Medium,high
315,Medium,medium
362,Medium,high
480,Medium,medium
596,Low,high
650,Low,medium
651,Low,high
669,Low,high
690,Low,medium
768,Low,medium
866,Low,medium
111,Low,high
255,Medium,high
260,Medium,low
364,Low,medium
378,Low,low
487,Medium,low
495,Medium,medium
671,High,medium
678,Low,low
803,Low,high
990,Low,medium
138,Medium,low
356,Medium,medium
366,Low,high
527,Medium,high
750,High,high
830,Medium,high
846,Medium,medium
943,Medium,medium
949,Low,high
30,Low,low
79,Medium,low
200,Low,medium
209,Low,low
214,Medium,medium
333,High,medium
409,High,high
536,High,high
614,Low,medium
657,Medium,high
696,Low,medium
1,Low,low
2,Low,low
3,Low,low
4,Medium,low
5,Medium,low
6,Low,high
1,Low,high
2,Low,medium
3,Low,low
4,Medium,medium
5,Medium,low
6,Low,low
7,High,low
8,Medium,low
9,Medium,low
3,Low,low
50,Low,medium
345,Low,medium
351,Medium,high
482,Low,low
537,Medium,low
545,Low,low
897,Low,high
905,Medium,medium
976,Medium,low
995,Low,low
4,Medium,low
32,High,high
34,Medium,medium
193,High,high
205,Medium,medium
232,Medium,high
334,Medium,medium
515,High,medium
576,Medium,high
964,Low,medium
78,High,medium
83,Low,medium
85,Low,low
110,Medium,low
287,Low,low
307,High,medium
431,Medium,medium
800,Medium,high
992,Medium,high
1,Low,high
2,Low,medium
3,Low,high
4,Medium,low
5,Medium,medium
6,Low,high
7,High,low
8,Medium,high
9,Medium,medium
10,Low,high
119,Low,medium
267,Low,high
358,Medium,high
381,Medium,medium
491,High,high
632,Low,low
799,Medium,high
869,Medium,medium
10,Low,low
82,Low,medium
197,High,medium
251,Low,low
524,Medium,medium
604,Low,medium
784,High,high
901,Low,high
1,Low,high
2,Low,high
3,Low,medium
4,Medium,medium
5,Medium,high
6,Low,medium
7,High,low
8,Medium,medium
363,Low,low
429,Medium,medium
465,Low,low
469,Low,low
502,Medium,medium
797,Low,medium
936,Medium,medium
947,Medium,high
2,Low,high
