conv_id,satisfaction_rating,predicted_label
412,Low,low
522,Medium,high
661,Low,medium
679,Medium,medium
738,Low,low
741,Low,medium
77,Low,high
137,High,high
514,Medium,low
627,Medium,medium
812,Medium,high
860,Medium,medium
637,Low,medium
900,Low,high
939,Medium,medium
974,Low,medium
175,Low,low
320,Medium,medium
372,Low,high
550,Medium,medium
762,Low,high
884,Medium,high
102,High,high
211,Low,medium
236,Low,high
528,Medium,medium
987,Low,high
140,Low,high
347,Low,medium
371,Medium,high
500,Low,medium
622,Medium,medium
903,Medium,high
948,Medium,medium
199,Low,medium
585,Medium,high
688,Medium,medium
902,Low,medium
97,Low,low
278,Low,medium
300,Low,low
313,Low,medium
329,Medium,high
975,Medium,medium
440,Low,low
571,Low,medium
602,Medium,medium
838,Low,high
925,Medium,medium
24,Low,High
31,Low,Medium
262,Medium,Low
579,Medium,Medium
880,Low,Low
11,Medium,High
222,Medium,Medium
297,Low,High
618,Low,Low
821,Low,High
210,High,medium
543,Medium,high
605,Medium,low
693,Low,medium
71,Low,low
108,Low,medium
494,Low,high
544,Low,medium
591,Low,low
663,Low,high
867,Low,medium
40,Medium,high
290,Medium,medium
293,Low,medium
308,Low,high
590,Low,medium
653,Medium,high
742,Low,medium
67,Medium,high
68,Low,high
276,Low,high
319,Low,medium
680,Low,high
328,Medium,low
549,Low,medium
715,Low,high
754,Medium,medium
999,Medium,medium
219,Low,high
383,Medium,medium
452,Low,medium
523,High,high
788,Low,high
64,Low,high
89,Medium,medium
437,Medium,low
765,Medium,medium
257,Medium,high
352,Medium,medium
717,Low,high
827,High,medium
937,Low,low
555,Medium,medium
636,Medium,low
645,Low,high
960,Medium,medium
529,Low,high
817,Low,medium
824,Low,high
918,Low,low
986,Low,high
185,Low,high
433,Low,medium
535,Low,medium
979,Low,low
261,Medium,low
295,Low,medium
426,Low,high
714,Low,medium
893,Low,high
238,Medium,High
446,Low,Medium
560,Low,Medium
584,Medium,Low
868,Medium,Low
266,Medium,low
600,High,medium
801,High,medium
850,Low,low
996,Low,medium
26,Low,high
56,Medium,medium
73,Low,low
121,Medium,medium
216,Low,medium
530,High,low
248,Low,medium
722,Low,high
894,Low,medium
245,Low,low
322,Medium,medium
811,Low,high
823,Low,medium
915,Low,high
430,Low,high
463,Low,medium
644,Low,medium
942,Low,low
978,Low,medium
310,Medium,high
596,Low,medium
698,Low,medium
885,Low,low
299,Medium,low
650,Low,medium
651,Low,high
669,Low,medium
690,Low,medium
768,Low,high
866,Low,high
111,Low,high
311,Medium,medium
315,Medium,low
362,Medium,high
480,Medium,high
255,Medium,high
260,Medium,medium
364,Low,medium
487,Medium,low
678,Low,medium
803,Low,medium
990,Low,medium
378,Low,low
495,Medium,medium
527,Medium,medium
671,High,medium
846,Medium,high
138,Medium,low
356,Medium,medium
366,Low,high
750,High,high
943,Medium,high
200,Low,low
214,Medium,medium
657,Medium,high
830,Medium,medium
949,Low,medium
30,Low,low
79,Medium,medium
209,Low,low
333,High,medium
409,High,high
536,High,high
614,Low,medium
166,Medium,high
558,High,medium
597,Low,medium
696,Low,medium
837,Low,low
142,Medium,medium
496,Medium,low
825,Medium,high
919,Low,medium
926,Low,low
250,Low,low
332,Low,medium
656,Medium,high
665,Medium,medium
828,Medium,high
306,Medium,medium
709,Medium,low
735,Medium,medium
908,Low,low
976,Medium,medium
351,Medium,medium
545,Low,low
897,Low,high
905,Medium,medium
34,Medium,high
345,Low,medium
482,Low,low
537,Medium,high
576,Medium,medium
995,Low,medium
193,High,high
232,Medium,high
334,Medium,medium
964,Low,medium
4,Medium,low
110,Medium,medium
205,Medium,medium
307,High,high
515,High,medium
800,Medium,medium
78,High,High
83,Low,Medium
85,Low,Medium
287,Low,Low
431,Medium,Medium
324,Low,low
399,Medium,high
520,Medium,medium
790,Low,medium
895,Low,low
992,Medium,high
98,High,high
466,Medium,high
732,Low,medium
917,Medium,medium
923,Low,low
267,Low,high
358,Medium,high
381,Medium,medium
632,Low,low
799,Medium,medium
869,Medium,medium
119,Low,low
382,Medium,high
491,High,medium
901,Low,low
