index,Speaker,Text,Domain-Intent,Rating 1,Rating 2,Rating 3,Rating 4,Rating 5,Domain,Intent,ConvID,TextLength
121,SYSTEM,I have made your reservation for the Allenbell for 2 people for 5 nights starting on Tuesday. Your reference number is PYY0CNUX. Is there anything else I may assist you with?,Booking-Book,,,,,,Booking,Book,5,174
415,SYSTEM,"I have booked you a room at the Acorn Guest House. They are at 154 Chesterson Road, CB41DA. Their phone number is 01223353888. Can I help you with anything else?",Booking-Book,,,,,,Booking,Book,17,161
549,SYSTEM,Booked! Reference number: G6ORAH2J.,Booking-Book,,,,,,Booking,Book,23,35
1417,SYSTEM,"Yes, the booking has been completed.",Booking-Book,,,,,,Booking,Book,61,36
1501,SYSTEM,"I have booked you a table for 4 on Tuesday at 19:30 at Saigon City, on the north end of Cambridge at 169 High Street Chesterton and your reference number is JARZR20Q if you need to contact them between now and then.",Booking-Book,,,,,,Booking,Book,65,215
1691,SYSTEM,"Okay, the river bar steakhouse and grill can be booked at 9:00 on Sunday, I've booked for 5 people, the reference number is RFTEXMIX, is there anything else I can help with today?",Booking-Book,,,,,,Booking,Book,73,179
2495,SYSTEM,"Sure your table at Maharajah Tandoori Restaurant has been booked. The table will be reserved for 15 minutes, reference number 4ENY97QO. Can I assist you with anything else?",Booking-Book,,,,,,Booking,Book,106,172
2587,SYSTEM,it is booked here is your ref number 3OUG57S3.,Booking-Book,,,,,,Booking,Book,110,46
2815,SYSTEM,"I have successfully booked your room at the Limehouse. Your reference number is 4VB8JH2B. As for the restaurant, do you have any preferences as far as price range goes?",Booking-Book,,,,,,Booking,Book,119,168
3091,SYSTEM,Booking was successful. Reference number is : VTJW67PC. Acorn guest house starting Sunday for 3 people and 3 nights. Is there anything else I can assist you with?,Booking-Book,,,,,,Booking,Book,131,162
4059,SYSTEM,Success. The reference number is MOUX96ZE.,Booking-Book,,,,,,Booking,Book,174,42
4161,SYSTEM,"Ok, I've booked the Allenbelle guesthouse, 517A Coldham Lane, phone# 01223210353. Reference# RZ2BA37V. Everything is exactly how you'd requested. Can I help with anything else?",Booking-Book,,,,,,Booking,Book,178,176
4323,SYSTEM,"I apologize, some of our new workers have phobias of the booking system, I booked you at Acorn guest house, the reference number is 04CSEO7Q any other questions?",Booking-Book,,,,,,Booking,Book,185,161
5181,SYSTEM,You're all set. Your reference number is QZPCEBYU.,Booking-Book,,,,,,Booking,Book,223,50
5319,SYSTEM,Success in booking!! The instructions say that the table will be reserved for 15 minutes. Reference number is DEY84BTQ. Is there anything else in which I may assist you?,Booking-Book,,,,,,Booking,Book,228,169
5441,SYSTEM,Apologies for taking so long to book your table at Wagamama. Your reference number there is I77RQUXX and I have arranged a taxi for you to leave there and go eat.,Booking-Book,,,,,,Booking,Book,234,162
5947,SYSTEM,I apologize for the trouble earlier. I managed to find you a guesthouse called The Hamilton Lodge and made a successful reservation. The reference number is EL0WI0ZV.,Booking-Book,,,,,,Booking,Book,255,166
6295,SYSTEM,"Booking at the Acorn Guest House was successful, the reference number is O4BO1B0L. It is located at 154 Chesterton Road, Postal Code cb41da. Is there anything else I can help with?",Booking-Book,,,,,,Booking,Book,271,180
6655,SYSTEM,I did find a hotel for you. We've booked you at the Alexander Bed & Breakfast for 3 nights. Your reference number is 244GZSGM. Is there anything else I can help you with?,Booking-Book,,,,,,Booking,Book,287,170
7131,SYSTEM,I have your rooms booked! What else can I do?,Booking-Book,,,,,,Booking,Book,308,45
7133,SYSTEM,Reference number is 26OVK8Q2.,Booking-Book,,,,,,Booking,Book,308,29
