,index,Speaker,Text,Domain-Intent,Rating 1,Rating 2,Rating 3,Rating 4,Rating 5,Domain,Intent,avg_rating,ConvID,turn_id,wt_avg_rating,satisfaction_rating,Intent Type,word_count
246,246,USER,Any Halal options?,,3.0,2.0,3.0,3.0,,,,2.75,10,10,2.709,Low,,3
307,307,SYSTEM,What's your price range?,Restaurant-Request,,,,,,Restaurant,Request,,13,5,,Medium,Request,4
345,345,SYSTEM,How about curry prince?,Restaurant-Recommend,,,,,,Restaurant,Recommend,,14,15,,Medium,Recommend,4
348,348,USER,Friday at 18:30 please,,3.0,3.0,3.0,,,,,3.0,14,18,3.0,Medium,,4
385,385,SYSTEM,154 chesterton road,Hotel-Inform,,,,,,Hotel,Inform,,15,25,,Medium,Inform,3
432,432,USER,How about Indian food?,Restaurant-Inform,3.0,5.0,3.0,,,Restaurant,Inform,3.67,18,2,3.667,High,Inform,4
504,504,USER,yes for the weekend,,3.0,3.0,3.0,,,,,3.0,21,4,3.0,Medium,,4
520,520,USER,I don't care.,,3.0,3.0,2.0,,,,,2.67,22,2,2.667,Low,,3
549,549,SYSTEM,Booked! Reference number: G6ORAH2J.,Booking-Book,,,,,,Booking,Book,,23,17,,Medium,Book,4
604,604,USER,North part of town,Restaurant-Inform,3.0,3.0,3.0,,,Restaurant,Inform,3.0,26,2,3.0,Medium,Inform,4
690,690,USER,I don't care,,1.0,3.0,3.0,,,,,2.33,30,20,2.333,Low,,3
716,716,USER,What would you recommend?,,3.0,3.0,3.0,,,,,3.0,31,16,3.0,Medium,,4
744,744,USER,book me 6 tickets.,Train-Inform,3.0,4.0,3.0,3.0,3.0,Train,Inform,3.2,32,14,3.286,Medium,Inform,4
746,746,USER,Book for Saturday please.,,3.0,4.0,3.0,3.0,3.0,,,3.2,32,16,3.286,Medium,,4
780,780,USER,Yes please try that.,,3.0,3.0,3.0,,,,,3.0,34,8,3.0,Medium,,4
788,788,USER,Does it allow children?,,3.0,3.0,3.0,,,,,3.0,34,16,3.0,Medium,,4
844,844,USER,Monday at 11:45 please.,Restaurant-Inform,3.0,3.0,3.0,,,Restaurant,Inform,3.0,36,20,3.0,Medium,Inform,4
908,908,USER,Do they accept AMEX?,,3.0,3.0,5.0,3.0,3.0,,,3.4,39,12,3.573,High,,4
916,916,USER,How about Portuguese food?,Restaurant-Inform,3.0,3.0,3.0,,,Restaurant,Inform,3.0,40,2,3.0,Medium,Inform,4
931,931,SYSTEM,TR8272 leaves at 05.00,Train-Inform,,,,,,Train,Inform,,41,1,,Medium,Inform,4
1002,1002,USER,Any in the south?,Attraction-Inform,3.0,5.0,3.0,3.0,,Attraction,Inform,3.5,44,2,3.582,High,Inform,4
1094,1094,USER,What is the postcode?,,3.0,3.0,3.0,,,,,3.0,48,2,3.0,Medium,,4
1106,1106,USER,That's everything I need.,,4.0,3.0,4.0,,,,,3.67,48,14,3.667,High,,4
1140,1140,USER,Right. Tuesday. Sorry.,Train-Inform,3.0,3.0,2.0,3.0,,Train,Inform,2.75,50,4,2.709,Low,Inform,3
1205,1205,SYSTEM,You're very welcome!,general-welcome,,,,,,general,welcome,,52,21,,Medium,welcome,3
1222,1222,USER,Do they allow children?,,3.0,3.0,5.0,3.0,,,,3.5,53,12,3.582,High,,4
1318,1318,USER,What's the entrance fee?,Attraction-Request,3.0,3.0,5.0,3.0,3.0,Attraction,Request,3.4,57,18,3.573,High,Request,4
1328,1328,USER,italian food willl do,Restaurant-Inform,3.0,3.0,3.0,,,Restaurant,Inform,3.0,58,4,3.0,Medium,Inform,4
1388,1388,USER,That sounds fine.,,4.0,4.0,4.0,,,,,4.0,60,14,4.0,High,,3
1446,1446,USER,Do they offer BYOB?,,3.0,3.0,3.0,,,,,3.0,62,6,3.0,Medium,,4
1450,1450,USER,What about outdoor seating?,,3.0,3.0,3.0,,,,,3.0,62,10,3.0,Medium,,4
1474,1474,USER,book for two,,3.0,3.0,3.0,,,,,3.0,63,18,3.0,Medium,,3
1484,1484,USER,Definitely cheap.,Restaurant-Inform,3.0,3.0,3.0,,,Restaurant,Inform,3.0,64,2,3.0,Medium,Inform,2
1560,1560,USER,I don't care.,,4.0,2.0,2.0,,,,,2.67,68,2,2.667,Low,,3
