conv_id,satisfaction_rating,predicted_label
412,Low,medium
514,Medium,low
627,Medium,medium
661,Low,medium
679,Medium,medium
738,Low,low
741,Low,low
860,Medium,medium
77,Low,medium
281,Low,medium
637,Low,low
812,Medium,low
900,Low,low
939,Medium,medium
974,Low,medium
175,Low,low
211,Low,low
236,Low,medium
320,Medium,medium
372,Low,medium
528,Medium,medium
550,Medium,medium
762,Low,medium
884,Medium,low
140,Low,medium
347,Low,low
371,Medium,low
500,Low,medium
622,Medium,medium
903,Medium,medium
948,Medium,medium
987,Low,low
60,Medium,medium
97,Low,low
199,Low,low
313,Low,medium
329,Medium,low
585,Medium,medium
688,Medium,medium
902,Low,low
278,Low,low
300,Low,low
440,Low,low
571,Low,low
602,Medium,medium
838,Low,medium
880,Low,medium
925,Medium,medium
975,Medium,low
11,Medium,high
24,Low,high
31,Low,medium
262,Medium,low
579,Medium,medium
618,Low,low
821,Low,high
55,High,medium
210,High,medium
297,Low,low
543,Medium,low
605,Medium,low
663,Low,medium
693,Low,low
71,Low,low
108,Low,low
290,Medium,low
293,Low,medium
494,Low,medium
544,Low,medium
591,Low,low
653,Medium,medium
742,Low,medium
867,Low,low
67,Medium,high
68,Low,medium
276,Low,low
308,Low,medium
319,Low,high
549,Low,medium
590,Low,low
680,Low,high
328,Medium,low
383,Medium,low
452,Low,low
523,High,low
715,Low,low
754,Medium,low
999,Medium,low
64,Low,medium
89,Medium,low
219,Low,low
437,Medium,medium
765,Medium,medium
788,Low,medium
827,High,medium
257,Medium,medium
352,Medium,medium
555,Medium,medium
636,Medium,high
717,Low,low
937,Low,low
960,Medium,medium
87,Low,medium
169,Low,low
529,Low,medium
817,Low,medium
824,Low,high
918,Low,medium
986,Low,medium
185,Low,low
295,Low,low
426,Low,medium
535,Low,high
893,Low,medium
979,Low,high
238,Medium,high
261,Medium,medium
446,Low,low
560,Low,low
584,Medium,low
714,Low,low
868,Medium,low
56,Medium,medium
121,Medium,medium
266,Medium,medium
530,High,low
600,High,medium
801,High,low
850,Low,low
996,Low,low
26,Low,low
45,Medium,low
73,Low,medium
248,Low,medium
282,Medium,medium
722,Low,high
894,Low,medium
159,Low,medium
245,Low,low
322,Medium,medium
644,Low,low
811,Low,medium
823,Low,medium
915,Low,low
978,Low,low
61,High,medium
310,Medium,medium
430,Low,low
463,Low,low
698,Low,medium
885,Low,low
942,Low,medium
299,Medium,low
311,Medium,low
315,Medium,low
362,Medium,medium
650,Low,medium
651,Low,medium
669,Low,medium
690,Low,low
768,Low,low
866,Low,medium
111,Low,medium
255,Medium,medium
260,Medium,low
364,Low,low
480,Medium,low
487,Medium,low
678,Low,low
803,Low,medium
990,Low,low
138,Medium,low
356,Medium,low
378,Low,low
495,Medium,low
527,Medium,medium
671,High,medium
846,Medium,medium
200,Low,low
214,Medium,medium
657,Medium,medium
750,High,medium
830,Medium,medium
943,Medium,low
949,Low,medium
30,Low,low
79,Medium,low
209,Low,low
333,High,medium
409,High,low
536,High,medium
558,High,low
614,Low,low
696,Low,medium
66,Medium,medium
142,Medium,low
166,Medium,low
496,Medium,low
597,Low,medium
825,Medium,medium
837,Low,low
919,Low,low
250,Low,low
332,Low,medium
656,Medium,medium
665,Medium,high
709,Medium,low
828,Medium,low
908,Low,low
3,Low,low
50,Low,medium
351,Medium,low
545,Low,low
735,Medium,low
897,Low,medium
976,Medium,low
32,High,medium
34,Medium,low
232,Medium,medium
345,Low,medium
482,Low,low
537,Medium,medium
576,Medium,medium
905,Medium,low
995,Low,low
4,Medium,low
193,High,medium
205,Medium,medium
307,High,medium
334,Medium,low
515,High,medium
800,Medium,medium
964,Low,low
78,High,2. medium
83,Low,1. low
85,Low,2. medium
110,Medium,2. low
287,Low,1. low
431,Medium,3. high
790,Low,1. low
992,Medium,2. medium
6,Low,medium
98,High,medium
324,Low,low
399,Medium,medium
466,Medium,medium
520,Medium,medium
732,Low,medium
895,Low,low
917,Medium,medium
923,Low,low
267,Low,low
358,Medium,medium
381,Medium,low
382,Medium,medium
491,High,medium
632,Low,low
799,Medium,medium
869,Medium,low
10,Low,low
197,High,medium
251,Low,medium
524,Medium,low
901,Low,low
212,High,medium
240,Medium,medium
291,Medium,low
588,Medium,medium
604,Low,low
782,Low,medium
784,High,high
798,Low,high
228,Low,low
360,Medium,low
450,Medium,medium
502,Medium,medium
797,Low,medium
947,Medium,medium
951,Medium,medium
8,Medium,medium
363,Low,low
429,Medium,medium
465,Low,low
469,Low,low
936,Medium,medium
