conv_id,satisfaction_rating,predicted_label
412,Low,High
522,Medium,High
661,Low,Low
679,Medium,Medium
738,Low,Low
741,Low,Medium
514,Medium,Medium
627,Medium,High
812,Medium,High
860,Medium,Medium
637,Low,Low
939,Medium,Medium
974,Low,High
281,Low,High
320,Medium,Medium
550,Medium,High
762,Low,High
884,Medium,Medium
900,Low,Low
175,Low,Low
211,Low,Medium
236,Low,High
372,Low,High
528,Medium,Medium
347,Low,Medium
903,Medium,High
948,Medium,Medium
987,Low,High
140,Low,Low
199,Low,Medium
371,Medium,Medium
500,Low,High
622,Medium,Medium
688,Medium,Medium
60,Medium,Low
97,Low,High
329,Medium,High
585,Medium,High
902,Low,Medium
278,Low,Low
300,Low,Medium
313,Low,Low
925,Medium,Low
975,Medium,Medium
440,Low,Low
571,Low,Medium
602,Medium,Low
838,Low,High
880,Low,Medium
24,Low,Low
31,Low,Medium
262,Medium,Medium
579,Medium,Medium
11,Medium,Low
222,Medium,Medium
618,Low,Low
821,Low,High
210,High,"""USER Hi I am looking for some info on the Worth House hotel."
297,Low,"""USER I am"
605,Medium,Low
663,Low,Medium
693,Low,Low
867,Low,High
71,Low,Low
108,Low,Medium
494,Low,High
544,Low,Medium
591,Low,Low
742,Low,Medium
290,Medium,High
293,Low,Medium
308,Low,High
590,Low,Medium
653,Medium,Medium
67,Medium,"""USER I am looking for something entertaining in town later and I've got some things in mind."
715,Low,Medium
754,Medium,Low
999,Medium,Medium
328,Medium,High
383,Medium,Medium
452,Low,High
523,High,High
219,Low,Low
437,Medium,Medium
765,Medium,Medium
788,Low,High
64,Low,Low
89,Medium,Medium
717,Low,High
827,High,Medium
352,Medium,Medium
636,Medium,High
645,Low,High
937,Low,Medium
555,Medium,Medium
918,Low,Low
960,Medium,Medium
529,Low,Medium
817,Low,High
824,Low,High
986,Low,High
185,Low,Low
433,Low,Medium
535,Low,High
979,Low,Medium
295,Low,Low
426,Low,Medium
714,Low,Medium
893,Low,High
238,Medium,High
261,Medium,Medium
446,Low,Medium
560,Low,Medium
584,Medium,Low
600,High,Low
801,High,Medium
850,Low,Low
868,Medium,Low
56,Medium,Medium
121,Medium,Medium
266,Medium,Low
530,High,Low
996,Low,Low
26,Low,Medium
45,Medium,Low
73,Low,Medium
216,Low,Medium
248,Low,High
282,Medium,Low
722,Low,Medium
894,Low,Low
915,Low,High
245,Low,"""USER Yes, hi. Would you be able to suggest a reasonably priced guesthouse for our stay in Cambridge?"
430,Low,High
463,Low,Medium
942,Low,Low
978,Low,Medium
310,Medium,High
698,Low,Medium
885,Low,Medium
299,Medium,Low
596,Low,Medium
650,Low,Medium
651,Low,Medium
669,Low,High
768,Low,Medium
866,Low,High
311,Medium,Low
315,Medium,Medium
362,Medium,High
480,Medium,Medium
690,Low,Low
255,Medium,Medium
260,Medium,Medium
364,Low,Medium
487,Medium,Low
990,Low,Medium
495,Medium,Low
671,High,Low
678,Low,Low
803,Low,Medium
138,Medium,Low
378,Low,Medium
527,Medium,High
846,Medium,High
356,Medium,Low
366,Low,Medium
750,High,High
943,Medium,High
949,Low,Medium
200,Low,Low
214,Medium,Medium
409,High,High
657,Medium,Medium
830,Medium,High
30,Low,Low
79,Medium,Low
209,Low,Medium
333,High,Medium
536,High,High
614,Low,Medium
597,Low,Medium
696,Low,Medium
837,Low,Low
1,Low,High
2,Low,Medium
3,Low,Low
4,Medium,High
5,Medium,Low
142,Medium,High
332,Low,Medium
656,Medium,Medium
828,Medium,High
926,Low,Low
665,Medium,Medium
709,Medium,Medium
908,Low,High
306,Medium,Medium
735,Medium,Medium
976,Medium,Medium
351,Medium,Low
545,Low,Medium
897,Low,High
905,Medium,Medium
345,Low,Medium
482,Low,Low
537,Medium,High
576,Medium,Medium
995,Low,Medium
193,High,Medium
232,Medium,High
964,Low,Medium
