conv_id,satisfaction_rating,predicted_label
412,Low,low
522,Medium,high
661,Low,medium
679,Medium,medium
738,Low,low
741,Low,medium
77,Low,low
137,High,medium
514,Medium,low
627,Medium,medium
812,Medium,high
860,Medium,high
281,Low,medium
637,Low,high
900,Low,high
939,Medium,medium
974,Low,medium
175,Low,low
320,Medium,medium
550,Medium,medium
762,Low,high
884,Medium,medium
102,High,high
211,Low,medium
236,Low,high
528,Medium,medium
987,Low,high
140,Low,"""USER I need a place to stay in the east that has free wifi."
199,Low,low
585,Medium,medium
688,Medium,high
902,Low,low
97,Low,low
278,Low,medium
300,Low,low
313,Low,high
329,Medium,high
975,Medium,medium
440,Low,High
571,Low,Medium
602,Medium,Low
838,Low,High
925,Medium,Medium
24,Low,high
31,Low,medium
262,Medium,low
579,Medium,medium
880,Low,medium
11,Medium,low
222,Medium,medium
297,Low,high
618,Low,medium
821,Low,high
210,High,low
543,Medium,medium
605,Medium,low
693,Low,medium
108,Low,high
494,Low,medium
544,Low,low
663,Low,high
867,Low,medium
40,Medium,"""USER i need a hotel in the north"
67,Medium,medium
68,Low,high
276,Low,high
308,Low,high
319,Low,medium
680,Low,high
328,Medium,low
549,Low,medium
715,Low,medium
754,Medium,high
999,Medium,medium
219,Low,high
383,Medium,medium
452,Low,medium
523,High,high
788,Low,medium
64,Low,medium
89,Medium,high
437,Medium,low
765,Medium,medium
352,Medium,high
717,Low,medium
827,High,medium
937,Low,low
555,Medium,"""USER I'm looking for a restaurant called graffiti."
529,Low,low
817,Low,medium
824,Low,high
918,Low,medium
986,Low,high
185,Low,"""USER Yes, would you be able to help me find a train leaving from Cambridge?"
261,Medium,low
295,Low,medium
426,Low,medium
714,Low,low
893,Low,high
238,Medium,High
446,Low,Medium
560,Low,Medium
584,Medium,Low
600,High,low
801,High,medium
850,Low,low
868,Medium,low
121,Medium,high
266,Medium,medium
530,High,low
996,Low,medium
26,Low,high
45,Medium,low
73,Low,medium
216,Low,medium
248,Low,high
722,Low,high
811,Low,high
894,Low,medium
915,Low,high
159,Low,high
245,Low,low
322,Medium,medium
644,Low,medium
823,Low,high
978,Low,medium
310,Medium,high
430,Low,medium
463,Low,medium
698,Low,medium
942,Low,low
596,Low,high
650,Low,medium
768,Low,medium
885,Low,medium
299,Medium,Classification: medium
311,Medium,Classification: low
315,Medium,Classification: low
651,Low,Classification: medium
669,Low,Classification: medium
690,Low,Classification: low
866,Low,Classification: medium
362,Medium,medium
364,Low,medium
480,Medium,medium
487,Medium,low
990,Low,medium
255,Medium,low
260,Medium,medium
495,Medium,high
678,Low,medium
803,Low,high
378,Low,low
527,Medium,medium
671,High,medium
846,Medium,high
356,Medium,medium
366,Low,low
750,High,high
943,Medium,high
200,Low,low
214,Medium,medium
657,Medium,high
830,Medium,high
949,Low,medium
30,Low,low
79,Medium,medium
209,Low,low
333,High,medium
409,High,high
536,High,high
614,Low,medium
166,Medium,low
558,High,medium
597,Low,medium
696,Low,low
837,Low,low
142,Medium,high
496,Medium,medium
825,Medium,medium
919,Low,low
656,Medium,high
828,Medium,medium
926,Low,low
250,Low,low
306,Medium,medium
709,Medium,low
735,Medium,medium
908,Low,low
50,Low,low
351,Medium,medium
545,Low,low
897,Low,high
976,Medium,medium
345,Low,low
482,Low,low
537,Medium,medium
576,Medium,medium
905,Medium,medium
995,Low,low
32,High,medium
34,Medium,low
193,High,high
232,Medium,medium
964,Low,high
205,Medium,low
334,Medium,medium
515,High,medium
800,Medium,high
78,High,medium
85,Low,low
110,Medium,medium
307,High,low
431,Medium,high
287,Low,low
790,Low,medium
895,Low,high
992,Medium,high
324,Low,Classification: medium
399,Medium,Classification: high
520,Medium,Classification: medium
917,Medium,Classification: low
923,Low,Classification: medium
267,Low,high
358,Medium,medium
466,Medium,medium
732,Low,medium
869,Medium,medium
